player,team,matches,innings,runs,balls_faced,fours,sixes,dismissals,not_outs,high_score,ducks,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,strike_rate,average,pp_strike_rate,mid_strike_rate,death_strike_rate,batting_phase,sample_reliability_score,balls_faced_per_match,boundary_rate,six_rate,four_rate,dot_ball_rate,season_start_year
AM Ghazanfar,Mumbai Indians,1,1,2,3,0,0,0,1,2,0,0,0,0,0,2,3,1,66.67,,,,66.67,death_strike_rate,0.075,3.0,0.0,0.0,0.0,0.333,2026
Abdul Samad,Lucknow Super Giants,7,7,116,88,10,5,6,1,37,1,0,0,62,55,54,33,34,131.82,19.33,,112.73,163.64,death_strike_rate,0.804,12.57,0.17,0.057,0.114,0.386,2026
Abhishek Sharma,Sunrisers Hyderabad,15,15,563,275,50,43,14,1,135,3,369,172,174,86,20,17,89,204.73,40.21,214.53,202.33,117.65,pp_strike_rate,1.0,18.33,0.338,0.156,0.182,0.324,2026
Abishek Porel,Delhi Capitals,4,4,108,88,15,1,4,0,51,0,66,51,38,34,4,3,35,122.73,27.0,129.41,111.76,133.33,death_strike_rate,0.617,22.0,0.182,0.011,0.17,0.398,2026
Adam Milne,Rajasthan Royals,1,1,2,2,0,0,0,1,2,0,0,0,0,0,2,2,1,100.0,,,,100.0,death_strike_rate,0.071,2.0,0.0,0.0,0.0,0.5,2026
Aiden Markram,Lucknow Super Giants,11,12,231,168,20,11,9,3,45,2,120,88,57,52,54,28,56,137.5,25.67,136.36,109.62,192.86,death_strike_rate,1.0,15.27,0.185,0.065,0.119,0.333,2026
Ajinkya Rahane,Kolkata Knight Riders,14,14,335,248,25,18,12,2,67,2,202,156,133,92,0,0,91,135.08,27.92,129.49,144.57,,mid_strike_rate,1.0,17.71,0.173,0.073,0.101,0.367,2026
Akeal Hosein,Chennai Super Kings,2,2,5,3,0,0,0,2,3,0,0,0,0,0,5,3,0,166.67,,,,166.67,death_strike_rate,0.138,1.5,0.0,0.0,0.0,0.0,2026
Akshat Raghuwanshi,Lucknow Super Giants,2,2,29,25,1,1,2,0,18,0,0,0,29,25,0,0,7,116.0,14.5,,116.0,,mid_strike_rate,0.229,12.5,0.08,0.04,0.04,0.28,2026
Angkrish Raghuvanshi,Kolkata Knight Riders,12,12,422,287,40,19,8,4,82,0,129,101,214,146,79,40,97,147.04,52.75,127.72,146.58,197.5,death_strike_rate,1.0,23.92,0.206,0.066,0.139,0.338,2026
