player,team,matches,innings,wickets,balls_bowled,runs_conceded,wides,noballs,dot_balls,maiden_overs,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,overs,economy,avg,strike_rate,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,sample_reliability_score,bowling_phase,two_plus_hauls,four_plus_hauls,five_wicket_hauls,season_start_year
AM Ghazanfar,Mumbai Indians,11,11,15,233,387,4,0,70,1,108,60,205,138,74,35,38.5,9.97,25.8,15.53,10.8,8.91,12.69,0.258,0.592,0.15,1.0,mid_economy,1,1,1,2026
Abdul Samad,Lucknow Super Giants,1,1,0,1,6,0,0,0,0,0,0,0,0,6,1,0.1,36.0,,,,,36.0,0.0,0.0,1.0,0.067,death_economy,0,0,0,2026
Abhinandan Singh,Royal Challengers Bengaluru,3,3,3,58,122,2,0,15,0,69,24,37,24,16,10,9.4,12.62,40.67,19.33,17.25,9.25,9.6,0.414,0.414,0.172,0.429,mid_economy,1,0,0,2026
Abhishek Sharma,Sunrisers Hyderabad,4,4,0,29,49,0,0,6,0,29,18,13,6,7,5,4.5,10.14,,,9.67,13.0,8.4,0.621,0.207,0.172,0.371,death_economy,0,0,0,2026
Adam Milne,Rajasthan Royals,1,1,0,20,40,1,0,3,0,22,12,0,0,18,8,3.2,12.0,,,11.0,,13.5,0.6,0.0,0.4,0.146,pp_economy,0,0,0,2026
Aiden Markram,Lucknow Super Giants,5,5,0,36,82,2,0,8,0,0,0,54,24,28,12,6.0,13.67,,,,13.5,14.0,0.0,0.667,0.333,0.462,mid_economy,0,0,0,2026
Akash Singh,Lucknow Super Giants,2,2,4,42,75,5,0,18,0,35,24,40,18,0,0,7.0,10.71,18.75,10.5,8.75,13.33,,0.571,0.429,0.0,0.3,pp_economy,1,1,0,2026
Akeal Hosein,Chennai Super Kings,7,7,9,148,197,1,2,58,1,92,66,91,72,14,10,24.4,7.99,21.89,16.44,8.36,7.58,8.4,0.446,0.486,0.068,0.938,mid_economy,1,1,1,2026
Anrich Nortje,Lucknow Super Giants,1,1,0,24,35,3,0,7,0,0,0,26,18,9,6,4.0,8.75,,,,8.67,9.0,0.0,0.75,0.25,0.162,mid_economy,0,0,0,2026
Anshul Kamboj,Chennai Super Kings,14,14,24,302,527,9,4,116,0,215,126,77,48,235,128,50.2,10.47,21.96,12.58,10.24,9.62,11.02,0.417,0.159,0.424,1.0,mid_economy,1,1,1,2026
Anukul Roy,Kolkata Knight Riders,12,12,8,163,260,21,0,53,0,93,60,124,78,43,25,27.1,9.57,32.5,20.38,9.3,9.54,10.32,0.368,0.479,0.153,1.0,pp_economy,1,1,1,2026
Arjun Tendulkar,Lucknow Super Giants,1,1,1,24,36,0,0,6,0,0,0,31,18,5,6,4.0,9.0,36.0,24.0,,10.33,5.0,0.0,0.75,0.25,0.162,death_economy,0,0,0,2026
Arshad Khan,Gujarat Titans,6,6,8,104,171,6,0,44,1,0,0,111,66,60,38,17.2,9.87,21.38,13.0,,10.09,9.47,0.0,0.635,0.365,0.808,death_economy,1,1,1,2026
Arshdeep Singh,Punjab Kings,14,14,14,318,535,25,1,109,0,256,168,128,72,151,78,53.0,10.09,38.21,22.71,9.14,10.67,11.62,0.528,0.226,0.245,1.0,pp_economy,1,1,1,2026
Ashok Sharma,Gujarat Titans,6,6,6,126,227,9,1,53,0,60,24,75,54,92,48,21.0,10.81,37.83,21.0,15.0,8.33,11.5,0.19,0.429,0.381,0.875,mid_economy,1,1,1,2026
Ashwani Kumar,Mumbai Indians,3,3,6,60,102,4,0,22,0,6,6,81,48,15,6,10.0,10.2,17.0,10.0,6.0,10.12,15.0,0.1,0.8,0.1,0.438,pp_economy,1,1,1,2026
Auqib Nabi,Delhi Capitals,5,5,0,78,149,3,3,26,0,139,72,10,6,0,0,13.0,11.46,,,11.58,10.0,,0.923,0.077,0.0,0.638,mid_economy,0,0,0,2026
Avesh Khan,Lucknow Super Giants,7,7,6,148,274,8,0,46,0,66,24,142,84,66,40,24.4,11.11,45.67,24.67,16.5,10.14,9.9,0.162,0.568,0.27,0.938,death_economy,1,1,1,2026
Axar Patel,Delhi Capitals,13,13,11,264,356,4,0,82,0,117,84,232,168,7,12,44.0,8.09,32.36,24.0,8.36,8.29,3.5,0.318,0.636,0.045,1.0,death_economy,1,1,1,2026
Ayush Badoni,Lucknow Super Giants,1,1,0,6,14,0,0,0,0,0,0,14,6,0,0,1.0,14.0,,,,14.0,,0.0,1.0,0.0,0.088,mid_economy,0,0,0,2026
Azmatullah Omarzai,Punjab Kings,3,3,3,66,103,3,0,23,0,53,30,29,18,21,18,11.0,9.36,34.33,22.0,10.6,9.67,7.0,0.455,0.273,0.273,0.462,death_economy,1,0,0,2026
Ben Dwarshuis,Punjab Kings,1,1,2,24,48,2,0,6,0,0,0,31,18,17,6,4.0,12.0,24.0,12.0,,10.33,17.0,0.0,0.75,0.25,0.162,mid_economy,1,0,0,2026
Bhuvneshwar Kumar,Royal Challengers Bengaluru,16,16,29,378,500,12,1,152,1,235,204,49,30,216,144,63.0,7.94,17.24,13.03,6.91,9.8,9.0,0.54,0.079,0.381,1.0,pp_economy,1,1,1,2026
Bishnoi,Rajasthan Royals,1,1,0,1,6,0,0,0,0,0,0,0,0,6,1,0.1,36.0,,,,,36.0,0.0,0.0,1.0,0.067,death_economy,0,0,0,2026
Blessing Muzarabani,Kolkata Knight Riders,2,2,5,42,75,2,0,13,0,40,18,10,12,25,12,7.0,10.71,15.0,8.4,13.33,5.0,12.5,0.429,0.286,0.286,0.3,mid_economy,1,1,1,2026
Brijesh Sharma,Rajasthan Royals,13,13,14,273,449,20,4,86,0,131,72,155,108,163,93,45.3,9.87,32.07,19.5,10.92,8.61,10.52,0.264,0.396,0.341,1.0,mid_economy,1,1,1,2026
Cameron Green,Kolkata Knight Riders,10,10,7,132,232,7,1,47,0,116,60,91,60,25,12,22.0,10.55,33.14,18.86,11.6,9.1,12.5,0.455,0.455,0.091,1.0,mid_economy,1,1,1,2026
Corbin Bosch,Mumbai Indians,6,6,13,121,195,3,2,46,1,20,12,101,72,74,37,20.1,9.67,15.0,9.31,10.0,8.42,12.0,0.099,0.595,0.306,0.875,mid_economy,1,1,1,2026
Dasun Shanaka,Rajasthan Royals,3,3,1,36,60,2,0,8,0,0,0,54,30,6,6,6.0,10.0,60.0,36.0,,10.8,6.0,0.0,0.833,0.167,0.338,death_economy,0,0,0,2026
David Payne,Sunrisers Hyderabad,2,2,2,30,70,1,0,5,0,43,12,27,18,0,0,5.0,14.0,35.0,15.0,21.5,9.0,,0.4,0.6,0.0,0.25,mid_economy,1,0,0,2026
Deepak Chahar,Mumbai Indians,8,8,8,153,265,9,0,58,0,155,102,44,18,66,33,25.3,10.39,33.12,19.12,9.12,14.67,12.0,0.667,0.118,0.216,1.0,pp_economy,1,1,1,2026
Digvesh Singh Rathi,Lucknow Super Giants,10,10,5,234,397,6,0,56,0,89,48,258,162,50,24,39.0,10.18,79.4,46.8,11.12,9.56,12.5,0.205,0.692,0.103,1.0,mid_economy,1,1,1,2026
Dilshan Madushanka,Sunrisers Hyderabad,1,1,1,24,35,3,0,8,0,16,12,19,12,0,0,4.0,8.75,35.0,24.0,8.0,9.5,,0.5,0.5,0.0,0.162,pp_economy,0,0,0,2026
Donovan Ferreira,Rajasthan Royals,3,3,1,18,41,0,0,2,0,0,0,25,12,16,6,3.0,13.67,41.0,18.0,,12.5,16.0,0.0,0.667,0.333,0.262,mid_economy,0,0,0,2026
Dushmantha Chameera,Delhi Capitals,1,1,0,12,18,0,0,5,0,18,12,0,0,0,0,2.0,9.0,,,9.0,,,1.0,0.0,0.0,0.112,pp_economy,0,0,0,2026
Eshan Malinga,Sunrisers Hyderabad,15,15,21,326,505,23,0,117,0,179,120,152,108,174,98,54.2,9.29,24.05,15.52,8.95,8.44,10.65,0.368,0.331,0.301,1.0,mid_economy,1,1,1,2026
George Linde,Lucknow Super Giants,3,3,1,37,55,0,0,10,0,0,0,51,36,4,1,6.1,8.92,55.0,37.0,,8.5,24.0,0.0,0.973,0.027,0.342,mid_economy,0,0,0,2026
Gurjapneet Singh,Chennai Super Kings,8,8,4,151,228,7,0,46,0,14,12,142,96,72,43,25.1,9.06,57.0,37.75,7.0,8.88,10.05,0.079,0.636,0.285,1.0,pp_economy,1,1,0,2026
Hardik Pandya,Mumbai Indians,9,9,4,136,257,11,2,41,0,110,48,105,72,42,16,22.4,11.34,64.25,34.0,13.75,8.75,15.75,0.353,0.529,0.118,1.0,mid_economy,1,1,0,2026
Harpreet Brar,Punjab Kings,2,2,2,48,60,1,0,16,0,21,18,39,30,0,0,8.0,7.5,30.0,24.0,7.0,7.8,,0.375,0.625,0.0,0.325,pp_economy,1,0,0,2026
Harsh Dubey,Sunrisers Hyderabad,8,8,8,132,226,6,0,38,0,69,42,115,60,42,30,22.0,10.27,28.25,16.5,9.86,11.5,8.4,0.318,0.455,0.227,1.0,death_economy,1,1,1,2026
