competition,season,team,player_name,status,primary_role,batting_role,bowling_role,matches_played,batting_innings,runs,balls_faced,fours,sixes,dismissals,batting_strike_rate,batting_average,bowling_innings,balls_bowled,runs_conceded,wickets,bowling_economy,bowling_strike_rate,dot_balls,notes,source_note
IPL,2026,Chennai Super Kings,Akeal Hosein,Verified from Kaggle 2026 delivery data,Bowler,,,7,2,5,3,0,0,0,166.67,,7,148,197,9,7.99,16.44,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Aman Khan,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Anshul Kamboj,Verified from Kaggle 2026 delivery data,All Rounder,,,14,4,59,38,3,4,1,155.26,59.0,14,302,527,24,10.47,12.58,8,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Ayush Matre,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Dewald Brevis,Verified from Kaggle 2026 delivery data,Batter,,,8,8,151,118,8,10,8,127.97,18.88,0,0,0,0,,,45,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Gurjapneet Singh,Verified from Kaggle 2026 delivery data,Bowler,,,8,0,0,0,0,0,0,,,8,151,228,4,9.06,37.75,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Jamie Overton,Verified from Kaggle 2026 delivery data,All Rounder,,,10,6,136,86,13,6,5,158.14,27.2,10,168,249,14,8.89,12.0,26,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Kartik Sharma,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,11,11,295,216,24,16,9,136.57,32.78,0,0,0,0,,,84,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Khaleel Ahmed,Verified from Kaggle 2026 delivery data,Bowler,,,5,0,0,0,0,0,0,,,5,101,145,2,8.61,50.5,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,MS Dhoni,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Matt Henry,Verified from Kaggle 2026 delivery data,Bowler,,,3,2,7,10,1,0,2,70.0,3.5,3,60,130,2,13.0,30.0,6,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Matthew Short,Verified from Kaggle 2026 delivery data,All Rounder,,,3,3,60,51,6,1,3,117.65,20.0,2,19,39,0,12.32,,19,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Mukesh Choudhary,Verified from Kaggle 2026 delivery data,Bowler,,,8,1,2,2,0,0,0,100.0,,8,168,247,9,8.82,18.67,1,,Derived from Kaggle IPL 2026 deliveries and squads data
