player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,lookup_name,lookup_full_name
963,MN Samuels,Right hand Bat,Right arm Offbreak, ,Marlon Nathaniel Samuels,mn samuels,marlon nathaniel samuels
53,SB Jakati,Left hand Bat,Slow Left arm Orthodox, ,Shadab Bashir Jakati,sb jakati,shadab bashir jakati
12,DA Warner,Left hand Bat,Legbreak, ,David Andrew Warner,da warner,david andrew warner
268,RA Tripathi,Right hand Bat,Right arm Medium, ,Rahul Ajay Tripathi,ra tripathi,rahul ajay tripathi
186,S Nadeem,Right hand Bat,Slow Left arm Orthodox, ,Shahbaz Nadeem,s nadeem,shahbaz nadeem
59,MK Pandey,Right hand Bat,Right arm Medium, ,Manish Krishnanand Pandey,mk pandey,manish krishnanand pandey
531,KS Williamson,Right hand Bat,Right arm Offbreak, ,Kane Stuart Williamson,ks williamson,kane stuart williamson
56,G Gambhir,Left hand Bat,Legbreak, ,Gautam Gambhir,g gambhir,gautam gambhir
39,MK Tiwary,Right hand Bat,Legbreak Googly, ,Manoj Kumar Tiwary,mk tiwary,manoj kumar tiwary
68,M Vohra,Right hand Bat,Right arm Medium, ,Manan Vohra,m vohra,manan vohra
638,NB Singh,Right hand Bat,Right arm Medium, ,Nathu Bharat Singh,nb singh,nathu bharat singh
40,R Bhatia,Right hand Bat,Right arm Medium fast, ,Rajat Bhatia,r bhatia,rajat bhatia
1233,SS Tiwary,Left hand Bat, , ,Saurabh Sunil Tiwary,ss tiwary,saurabh sunil tiwary
1396,MA Wood,Right hand Bat,Right arm Fast, ,Mark Andrew Wood,ma wood,mark andrew wood
47,SK Raina,Left hand Bat,Right arm Offbreak, ,Suresh Kumar Raina,sk raina,suresh kumar raina
1242,R Vinay Kumar,Right hand Bat,Right arm Medium, ,Ranganath Vinay Kumar,r vinay kumar,ranganath vinay kumar
541,SE Marsh,Left hand Bat,Slow Left arm Orthodox, ,Shaun Edward Marsh,se marsh,shaun edward marsh
6,Sachin Baby,Left hand Bat,Right arm Offbreak, ,Sachin Baby,sachin baby,sachin baby
525,J Yadav,Right hand Bat,Right arm Offbreak, ,Jayant Yadav,j yadav,jayant yadav
63,PP Chawla,Left hand Bat,Legbreak, ,Piyush Pramod Chawla,pp chawla,piyush pramod chawla
36,SPD Smith,Right hand Bat,Legbreak Googly, ,Steven Peter Devereux Smith,spd smith,steven peter devereux smith
55,S Kaushik,Right hand Bat,Left arm Wrist spin, ,Shivil Kaushik,s kaushik,shivil kaushik
52,P Kumar,Right hand Bat,Right arm Medium, ,Praveenkumar Sakat Singh,p kumar,praveenkumar sakat singh
1429,K Khejroliya,Left hand Bat,Left arm Medium fast, ,Kulwant Khejroliya,k khejroliya,kulwant khejroliya
32,MJ McClenaghan,Left hand Bat,Left arm Fast medium, ,Mitchell John McClenaghan,mj mcclenaghan,mitchell john mcclenaghan
457,AD Mathews,Right hand Bat,Right arm Medium, ,Angelo Davis Mathews,ad mathews,angelo davis mathews
45,JJ Roy,Right hand Bat, , ,Jason Jonathan Roy,jj roy,jason jonathan roy
43,AB Dinda,Right hand Bat,Right arm Medium fast, ,Ashok Bhimchandra Dinda,ab dinda,ashok bhimchandra dinda
579,Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox, ,Shakib Al Hasan,shakib al hasan,shakib al hasan
1448,K Gowtham,Right hand Bat,Right arm Offbreak, ,Krishnappa Gowtham,k gowtham,krishnappa gowtham
60,YK Pathan,Right hand Bat,Right arm Offbreak, ,Yusuf Khan Pathan,yk pathan,yusuf khan pathan
7,STR Binny,Right hand Bat,Right arm Medium, ,Stuart Terence Roger Binny,str binny,stuart terence roger binny
173,Iqbal Abdulla,Left hand Bat,Slow Left arm Orthodox, ,Sayed Iqbal Abdulla,iqbal abdulla,sayed iqbal abdulla
15,Yuvraj Singh,Left hand Bat,Slow Left arm Orthodox, ,Yuvraj Singh,yuvraj singh,yuvraj singh
74,Swapnil Singh,Right hand Bat,Slow Left arm Orthodox, ,Swapnil Singh,swapnil singh,swapnil singh
760,MJ Guptill,Right hand Bat,Right arm Offbreak, ,Martin James Guptill,mj guptill,martin james guptill
182,CH Morris,Right hand Bat,Right arm Fast medium, ,Christopher Henry Morris,ch morris,christopher henry morris
1449,S Gopal,Right hand Bat,Legbreak, ,Shreyas Gopal,s gopal,shreyas gopal
405,KC Cariappa,Right hand Bat,Legbreak, ,Konganda Charamanna Cariappa,kc cariappa,konganda charamanna cariappa
196,Basil Thampi,Right hand Bat,Right arm Fast medium, ,Basil Thampi,basil thampi,basil thampi
744,AR Bawne,Right hand Bat,Right arm Offbreak, ,Ankit Ramdas Bawne,ar bawne,ankit ramdas bawne
676,KV Sharma,Left hand Bat,Legbreak Googly, ,Karn Vinod Sharma,kv sharma,karn vinod sharma
171,Vishnu Vinod,Right hand Bat, ,Wicketkeeper,Vishnu Vinod,vishnu vinod,vishnu vinod
448,AF Milne,Right hand Bat,Right arm Fast, ,Adam Fraser Milne,af milne,adam fraser milne
359,Ankit Sharma,Left hand Bat,Slow Left arm Orthodox, ,Ankit Nagendra Sharma,ankit sharma,ankit nagendra sharma
187,Z Khan,Right hand Bat,Left arm Fast medium, ,Zaheer Khan,z khan,zaheer khan
185,A Mishra,Right hand Bat,Legbreak, ,Amit Mishra,a mishra,amit mishra
726,Ankit Soni,Right hand Bat,Legbreak, ,Ankit Soni,ankit soni,ankit soni
197,Tejas Baroka,Right hand Bat,Legbreak Googly, ,Tejas Baroka,tejas baroka,tejas baroka
5,SR Watson,Right hand Bat,Right arm Fast medium, ,Shane Robert Watson,sr watson,shane robert watson
351,AJ Tye,Right hand Bat,Right arm Medium fast, ,Andrew James Tye,aj tye,andrew james tye
1393,DJ Bravo,Right hand Bat,Right arm Medium, ,Dwayne John Bravo,dj bravo,dwayne john bravo
177,AP Tare,Right hand Bat, ,Wicketkeeper,Aditya Prakash Tare,ap tare,aditya prakash tare
7539,B Indrajith,Right hand Bat,Legbreak Googly, ,Baba Indrajith,b indrajith,baba indrajith
4063,T Banton,Right hand Bat, ,Wicketkeeper,Tom Banton,t banton,tom banton
6115,K Yadav,Left hand Bat,Left arm Fast medium, ,Kuldip Yadav,k yadav,kuldip yadav
8321,Rahmanullah Gurbaz,Right hand Bat, ,Wicketkeeper,Rahmanullah Gurbaz,rahmanullah gurbaz,rahmanullah gurbaz
1285,HV Patel,Right hand Bat,Right arm Medium, ,Harshal Vikram Patel,hv patel,harshal vikram patel
3649,AS Roy,Left hand Bat,Slow Left arm Orthodox, ,Anukul Sudhakar Roy,as roy,anukul sudhakar roy
332,V Kohli,Right hand Bat,Right arm Medium, ,Virat Kohli,v kohli,virat kohli
73,MP Stoinis,Right hand Bat,Right arm Medium, ,Marcus Peter Stoinis,mp stoinis,marcus peter stoinis
163,RD Chahar,Right hand Bat,Legbreak Googly, ,Rahul Desraj Chahar,rd chahar,rahul desraj chahar
30,HH Pandya,Right hand Bat,Right arm Medium fast, ,Hardik Himanshu Pandya,hh pandya,hardik himanshu pandya
65,SP Narine,Left hand Bat,Right arm Offbreak, ,Sunil Philip Narine,sp narine,sunil philip narine
361,LH Ferguson,Right hand Bat,Right arm Fast, ,Lachlan Hammond Ferguson,lh ferguson,lachlan hammond ferguson
1119,R Tewatia,Left hand Bat,Legbreak, ,Rahul Tewatia,r tewatia,rahul tewatia
20,B Kumar,Right hand Bat,Right arm Medium, ,Bhuvneshwar Kumar Singh,b kumar,bhuvneshwar kumar singh
22,Rashid Khan,Right hand Bat,Legbreak Googly, ,Rashid Khan Arman,rashid khan,rashid khan arman
1424,SN Khan,Right hand Bat,Legbreak, ,Sarfaraz Naushad Khan,sn khan,sarfaraz naushad khan
6761,R Shepherd,Right hand Bat,Right arm Fast medium, ,Romario Shepherd,r shepherd,romario shepherd
4960,MR Marsh,Right hand Bat,Right arm Medium, ,Mitchell Ross Marsh,mr marsh,mitchell ross marsh
70,AR Patel,Left hand Bat,Slow Left arm Orthodox, ,Axar Rajeshbhai Patel,ar patel,axar rajeshbhai patel
590,K Rabada,Left hand Bat,Right arm Fast, ,Kagiso Rabada,k rabada,kagiso rabada
72,DA Miller,Left hand Bat,Right arm Offbreak, ,David Andrew Miller,da miller,david andrew miller
41,DL Chahar,Right hand Bat,Right arm Medium, ,Deepak Lokandersingh Chahar,dl chahar,deepak lokandersingh chahar
6730,Mohsin Khan,Left hand Bat,Left arm Medium fast,,Mohsin Khan,mohsin khan,mohsin khan
460,Mohammed Shami,Right hand Bat,Right arm Fast, ,Mohammed Shami Ahmed,mohammed shami,mohammed shami ahmed
1286,Avesh Khan,Right hand Bat,Right arm Fast medium, ,Avesh Khan,avesh khan,avesh khan
28,KH Pandya,Left hand Bat,Slow Left arm Orthodox, ,Krunal Himanshu Pandya,kh pandya,krunal himanshu pandya
347,Ishan Kishan,Left hand Bat, ,Wicketkeeper,Ishan Pranav Kumar Pandey Kishan,ishan kishan,ishan pranav kumar pandey kishan
7751,SA Abbott,Right hand Bat,Right arm Fast medium, ,Sean Anthony Abbott,sa abbott,sean anthony abbott
7302,OC McCoy,Left hand Bat,Left arm Fast medium, ,Obed  Christopher McCoy,oc mccoy,obed christopher mccoy
4970,P Dubey,Right hand Bat,Legbreak Googly, ,Praveen Dubey,p dubey,praveen dubey
3451,DW Steyn,Right hand Bat,Right arm Fast, ,Dale Willem Steyn,dw steyn,dale willem steyn
5411,RP Meredith,Right hand Bat,Right arm Fast, ,Riley Patrick Meredith,rp meredith,riley patrick meredith
7895,R Sai Kishore,Left hand Bat,Slow Left arm Orthodox, ,Ravisrinivasan Sai Kishore,r sai kishore,ravisrinivasan sai kishore
1805,RK Bhui,Right hand Bat,Legbreak Googly, ,Ricky Kannakumar Bhui,rk bhui,ricky kannakumar bhui
6710,Akash Deep,Right hand Bat,Right arm Fast medium, ,Akash Deep,akash deep,akash deep
5976,KS Bharat,Right hand Bat, ,Wicketkeeper,Kona Srikar Bharat,ks bharat,kona srikar bharat
6739,A Manohar,Right hand Bat,Legbreak Googly, ,Abhinav Manohar,a manohar,abhinav manohar
7843,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium, ,Fazalhaq Farooqi,fazalhaq farooqi,fazalhaq farooqi
7083,KR Sen,Right hand Bat,Right arm Fast, ,Kuldeep Rampal Sen,kr sen,kuldeep rampal sen
5629,FA Allen,Right hand Bat,Slow Left arm Orthodox, ,Fabian Anthony Allen,fa allen,fabian anthony allen
5935,Anuj Rawat,Left hand Bat, , ,Anuj Rawat,anuj rawat,anuj rawat
7017,M Theekshana,Right hand Bat,Right arm Offbreak, ,Morawakage Maheesh Theekshana,m theekshana,morawakage maheesh theekshana
2142,DJ Willey,Left hand Bat,Left arm Fast medium, ,David Jonathan Willey,dj willey,david jonathan willey
1849,PP Shaw,Right hand Bat,Right arm Offbreak, ,Prithvi Pankaj Shaw,pp shaw,prithvi pankaj shaw
6017,Umran Malik,Right hand Bat,Right arm Fast, ,Umran Malik,umran malik,umran malik
2295,SP Goswami,Left hand Bat, ,Wicketkeeper,Shreevats Pratyush Goswami,sp goswami,shreevats pratyush goswami
3156,HF Gurney,Right hand Bat,Left arm Fast medium, ,Harry Frederick Gurney,hf gurney,harry frederick gurney
2743,CA Ingram,Left hand Bat,Legbreak,Wicketkeeper,Colin Alexander Ingram,ca ingram,colin alexander ingram
3214,SD Lad,Right hand Bat,Right arm Offbreak, ,Siddhesh Dinesh Lad,sd lad,siddhesh dinesh lad
8305,J Little,Right hand Bat,Left arm Fast medium, ,Joshua Brian Little,j little,joshua brian little
8007,M Pathirana,Right hand Bat,Right arm Fast, ,Matheesha Pathirana,m pathirana,matheesha pathirana
3145,S Midhun,Right hand Bat,Legbreak Googly, ,Sudhesan Midhun,s midhun,sudhesan midhun
2353,CJ Dala,Right hand Bat,Right arm Medium, ,Carl Junior Dala,cj dala,carl junior dala
4097,PK Garg,Right hand Bat,Right arm Medium, ,Priyam K Garg,pk garg,priyam k garg
7192,Aman Hakim Khan,Right hand Bat,Right arm Medium, ,Aman Hakim Khan,aman hakim khan,aman hakim khan
6734,MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper,Matthew Scott Wade,ms wade,matthew scott wade
4134,KL Nagarkoti,Right hand Bat,Right arm Fast, ,Kamlesh Lachham Nagarkoti,kl nagarkoti,kamlesh lachham nagarkoti
4320,DR Sams,Right hand Bat,Left arm Fast medium, ,Daniel Richard Sams,dr sams,daniel richard sams
7496,DJ Mitchell,Right hand Bat,Right arm Medium, ,Daryl Joseph Mitchell,dj mitchell,daryl joseph mitchell
5422,C Sakariya,Left hand Bat,Left arm Medium fast, ,Chetan Sakariya,c sakariya,chetan sakariya
2352,S Lamichhane,Right hand Bat,Legbreak Googly, ,Sandeep Lamichhane,s lamichhane,sandeep lamichhane
2910,GH Vihari,Right hand Bat,Right arm Offbreak, ,Gade Hanuma Vihari,gh vihari,gade hanuma vihari
8349,RR Rossouw,Left hand Bat,Right arm Offbreak, ,Rilee Roscoe Rossouw,rr rossouw,rilee roscoe rossouw
8333,KR Mayers,Left hand Bat,Right arm Medium, ,Kyle Rico Mayers,kr mayers,kyle rico mayers
5573,LI Meriwala,Left hand Bat,Left arm Fast medium, ,Lukman Iqbal Meriwala,li meriwala,lukman iqbal meriwala
2894,NS Naik,Right hand Bat, ,Wicketkeeper,Nikhil Shankar Naik,ns naik,nikhil shankar naik
8191,PN Mankad,Right hand Bat,Right arm Medium, ,Prerak Nileshkumar Mankad,pn mankad,prerak nileshkumar mankad
7621,K Kartikeya,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin", ,Kumar Kartikeya Singh,k kartikeya,kumar kartikeya singh
6520,AU Rashid,Right hand Bat,Legbreak, ,Adil Usman Rashid,au rashid,adil usman rashid
6519,IC Porel,Right hand Bat,Right arm Medium, ,Ishan Chandranath Porel,ic porel,ishan chandranath porel
5526,Virat Singh,Left hand Bat,Legbreak Googly, ,Virat Binod Singh,virat singh,virat binod singh
5181,Monu Kumar,Right hand Bat,Right arm Medium, ,Monu Kumar Singh,monu kumar,monu kumar singh
