player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,cluster_id,cluster_label,archetype_role
A Ashish Reddy,Sunrisers Hyderabad,2016.0,57.65,75.8,66.72,False,True,bowling_allrounder,280.0,23.0,193.0,12.17,145.08,tailender,18.0,20.0,262.0,0.9,9.07,death_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
A Badoni,Lucknow Super Giants,2026.0,64.32,59.31,61.82,False,False,utility_player,1135.0,54.0,817.0,21.02,138.92,finisher,4.0,8.0,41.0,0.5,9.22,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
A Chandila,Rajasthan Royals,2013.0,20.7,80.84,50.77,False,False,pure_bowler,4.0,2.0,7.0,2.0,57.14,tailender,11.0,12.0,234.0,0.917,6.21,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
A Chopra,Kolkata Knight Riders,2009.0,29.22,0.0,14.61,False,False,pure_batter,53.0,6.0,71.0,8.83,74.65,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
A Choudhary,Royal Challengers Bengaluru,2017.0,46.67,81.98,64.32,False,False,pure_bowler,25.0,3.0,20.0,8.33,125.0,tailender,5.0,5.0,101.0,1.0,8.55,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
A Dananjaya,Mumbai Indians,2018.0,29.4,41.55,35.47,False,False,pure_batter,4.0,1.0,5.0,4.0,80.0,tailender,0.0,1.0,24.0,0.0,11.75,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
A Flintoff,Chennai Super Kings,2009.0,48.18,67.47,57.82,False,False,pure_bowler,62.0,3.0,53.0,20.67,116.98,middle_order,2.0,3.0,66.0,0.667,9.55,death_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
A Kamboj,Chennai Super Kings,2026.0,45.89,91.29,68.59,False,False,pure_bowler,55.0,9.0,44.0,6.11,125.0,tailender,24.0,19.0,355.0,1.263,8.84,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
A Kumble,Royal Challengers Bengaluru,2010.0,26.88,85.13,56.0,False,False,pure_bowler,35.0,15.0,47.0,2.33,74.47,tailender,45.0,42.0,965.0,1.071,6.58,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
A Manohar,Gujarat Titans,2025.0,54.6,0.0,27.3,False,False,pure_batter,292.0,20.0,235.0,14.6,124.26,tailender,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
A Mhatre,Chennai Super Kings,2026.0,96.94,0.0,48.47,False,False,pure_batter,441.0,13.0,240.0,33.92,183.75,top_order_anchor,,,,,,,4,allrounder_pure_bowler_cluster_4,pure_bowler
