player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
A Ashish Reddy,280,23,193,16,15,15,12.17,36,2,0.348,0,0.0,8.88,2,0,0.087,0.0,145.08,0.161,0.078,0.083,0.55,0.301,0.018,0.218,0.764,83.33,148.78,146.58,mid,9.8,14.0,Sunrisers Hyderabad,7,7.043478260869565,lower_order,tailender
A Badoni,1076,51,776,86,41,41,21.1,74,0,0.196,3,0.059,18.68,14,7,0.275,0.137,138.66,0.164,0.053,0.111,0.548,0.313,0.044,0.474,0.482,77.05,127.82,164.24,death,19.73,22.14,Lucknow Super Giants,6,5.411764705882353,middle_order,finisher
A Chopra,53,6,71,7,0,6,8.83,24,1,0.0,0,0.0,9.02,0,0,0.0,0.0,74.65,0.099,0.0,0.099,0.528,0.577,0.509,0.472,0.019,69.23,83.33,50.0,mid,10.25,6.0,Kolkata Knight Riders,2,3.1666666666666665,opener,anchor_opener
A Kamboj,42,8,36,4,1,2,5.25,19,0,0.75,1,0.125,5.95,0,0,0.0,0.0,116.67,0.139,0.028,0.111,0.524,0.361,0.0,0.0,1.0,,,116.67,death,4.0,5.43,Chennai Super Kings,9,9.625,tailender,tailender
A Kumble,35,15,47,3,0,3,2.33,8,0,0.8,0,0.0,2.41,0,0,0.0,0.0,74.47,0.064,0.0,0.064,0.343,0.468,0.0,0.029,0.971,,20.0,80.95,death,1.5,2.46,Royal Challengers Bangalore,10,10.352941176470589,tailender,tailender
A Manohar,292,20,235,23,14,19,14.6,43,0,0.05,2,0.1,15.63,4,0,0.2,0.0,124.26,0.157,0.06,0.098,0.603,0.387,0.041,0.452,0.507,66.67,107.32,157.45,death,11.91,17.89,Gujarat Titans,7,5.9,lower_order,tailender
A Mhatre,411,12,227,46,22,12,34.25,94,0,0.0,2,0.167,30.14,8,3,0.667,0.25,181.06,0.3,0.097,0.203,0.769,0.326,0.596,0.382,0.022,185.61,184.71,90.0,pp,32.75,35.0,Chennai Super Kings,3,2.1666666666666665,top_order,top_order_anchor
A Mishra,381,57,419,31,5,32,6.68,31,0,0.439,10,0.175,7.54,2,0,0.035,0.0,90.93,0.086,0.012,0.074,0.404,0.425,0.003,0.315,0.682,20.0,73.17,104.0,death,9.18,6.09,Delhi Daredevils,8,8.543859649122806,lower_order,tailender
A Mithun,34,6,26,4,1,5,5.67,11,0,0.167,1,0.167,4.32,0,0,0.0,0.0,130.77,0.192,0.038,0.154,0.647,0.423,0.0,0.441,0.559,,125.0,135.71,death,3.0,7.0,Royal Challengers Bangalore,8,8.25,lower_order,tailender
A Nehra,41,17,62,3,1,7,2.41,22,0,0.588,5,0.294,5.48,0,0,0.0,0.0,66.13,0.065,0.016,0.048,0.439,0.581,0.0,0.0,1.0,,,66.13,death,0.0,2.73,Delhi Daredevils,10,10.181818181818182,tailender,tailender
