player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model
A Ashish Reddy,280,23,193,16,15,15,12.17,36,2,0.348,0,0.0,8.88,2,0,0.087,0.0,145.08,0.161,0.078,0.083,0.55,0.301,5,61,214,6,41,146,0.018,0.218,0.764,83.33,148.78,146.58,middle,9.8,14.0,8.39,1.0,Sunrisers Hyderabad,2016,7.043478260869565,7.0,3,9,7,lower_order,tailender,True
A Badoni,1076,51,776,86,41,41,21.1,74,0,0.196,3,0.059,18.68,14,7,0.275,0.137,138.66,0.164,0.053,0.111,0.548,0.313,47,510,519,61,399,316,0.044,0.474,0.482,77.05,127.82,164.24,death,19.73,22.14,15.22,1.0,Lucknow Super Giants,2026,5.411764705882353,6.0,2,7,6,middle_order,finisher,True
A Chandila,4,2,7,0,0,0,2.0,4,0,1.0,0,0.0,2.83,0,0,0.0,0.0,57.14,0.0,0.0,0.0,0.0,0.429,0,0,4,0,0,7,0.0,0.0,1.0,,,57.14,death,,2.0,3.5,0.154,Rajasthan Royals,2013,8.5,8.5,8,9,8,lower_order,tailender,False
A Chopra,53,6,71,7,0,6,8.83,24,1,0.0,0,0.0,9.02,0,0,0.0,0.0,74.65,0.099,0.0,0.099,0.528,0.577,27,25,1,39,30,2,0.509,0.472,0.019,69.23,83.33,50.0,middle,10.25,6.0,11.83,0.671,Kolkata Knight Riders,2009,3.1666666666666665,2.0,1,7,2,opener,anchor_opener,True
A Choudhary,25,3,20,1,1,1,8.33,15,4,0.667,0,0.0,5.86,0,0,0.0,0.0,125.0,0.1,0.05,0.05,0.4,0.2,0,0,25,0,0,20,0.0,0.0,1.0,,,125.0,death,,8.33,6.67,0.271,Royal Challengers Bangalore,2017,10.333333333333334,10.0,10,11,10,tailender,tailender,False
A Dananjaya,4,1,5,0,0,0,4.0,4,4,1.0,0,0.0,0.0,0,0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.4,0,0,4,0,0,5,0.0,0.0,1.0,,,80.0,death,,4.0,5.0,0.083,Mumbai Indians,2018,8.0,8.0,8,8,8,lower_order,tailender,False
A Flintoff,62,3,53,5,2,2,20.67,24,16,0.333,0,0.0,4.16,0,0,0.0,0.0,116.98,0.132,0.038,0.094,0.516,0.377,14,23,25,13,23,17,0.226,0.371,0.403,107.69,100.0,147.06,death,22.0,20.0,17.67,0.408,Chennai Super Kings,2009,4.666666666666667,5.0,4,5,5,middle_order,middle_order,False
A Kamboj,42,8,36,4,1,2,5.25,19,0,0.75,1,0.125,5.95,0,0,0.0,0.0,116.67,0.139,0.028,0.111,0.524,0.361,0,0,42,0,0,36,0.0,0.0,1.0,,,116.67,death,4.0,5.43,4.5,0.65,Chennai Super Kings,2026,9.625,9.0,9,11,9,tailender,tailender,True
A Kumble,35,15,47,3,0,3,2.33,8,0,0.8,0,0.0,2.41,0,0,0.0,0.0,74.47,0.064,0.0,0.064,0.343,0.468,0,1,34,0,5,42,0.0,0.029,0.971,,20.0,80.95,death,1.5,2.46,3.13,0.696,Royal Challengers Bangalore,2009,10.352941176470589,10.0,9,11,10,tailender,tailender,True
A Manohar,292,20,235,23,14,19,14.6,43,0,0.05,2,0.1,15.63,4,0,0.2,0.0,124.26,0.157,0.06,0.098,0.603,0.387,12,132,148,18,123,94,0.041,0.452,0.507,66.67,107.32,157.45,death,11.91,17.89,11.75,1.0,Gujarat Titans,2025,5.9,6.0,4,7,7,lower_order,tailender,True
A Mhatre,411,12,227,46,22,12,34.25,94,0,0.0,2,0.167,30.14,8,3,0.667,0.25,181.06,0.3,0.097,0.203,0.769,0.326,245,157,9,132,85,10,0.596,0.382,0.022,185.61,184.71,90.0,powerplay,32.75,35.0,18.92,1.0,Chennai Super Kings,2026,2.1666666666666665,2.5,1,3,3,top_order,top_order_anchor,True
A Mishra,381,57,419,31,5,32,6.68,31,0,0.439,10,0.175,7.54,2,0,0.035,0.0,90.93,0.086,0.012,0.074,0.404,0.425,1,120,260,5,164,250,0.003,0.315,0.682,20.0,73.17,104.0,death,9.18,6.09,7.35,1.0,Delhi Daredevils,2023,8.543859649122806,8.0,5,10,8,lower_order,tailender,True
A Mithun,34,6,26,4,1,5,5.67,11,0,0.167,1,0.167,4.32,0,0,0.0,0.0,130.77,0.192,0.038,0.154,0.647,0.423,0,15,19,0,12,14,0.0,0.441,0.559,,125.0,135.71,death,3.0,7.0,4.33,0.483,Royal Challengers Bangalore,2013,8.25,8.0,7,9,8,lower_order,tailender,True
A Mukund,19,2,22,1,0,2,9.5,19,0,0.0,1,0.5,13.44,0,0,0.0,0.0,86.36,0.045,0.0,0.045,0.211,0.364,14,5,0,15,6,1,0.737,0.263,0.0,93.33,83.33,0.0,powerplay,,9.5,11.0,0.217,Chennai Super Kings,2013,4.5,4.5,1,8,1,opener,anchor_opener,False
A Nehra,41,17,62,3,1,7,2.41,22,0,0.588,5,0.294,5.48,0,0,0.0,0.0,66.13,0.065,0.016,0.048,0.439,0.581,0,0,41,0,0,62,0.0,0.0,1.0,,,66.13,death,0.0,2.73,3.65,0.758,Delhi Daredevils,2016,10.181818181818182,10.0,9,11,10,tailender,tailender,True
A Nel,0,1,0,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0,,,,,,,unknown,,0.0,0.0,0.062,Mumbai Indians,2007,9.0,9.0,9,9,9,tailender,tailender,False
A Nortje,49,14,50,6,0,7,3.5,23,0,0.5,3,0.214,5.87,0,0,0.0,0.0,98.0,0.12,0.0,0.12,0.49,0.48,0,0,49,0,0,50,0.0,0.0,1.0,,,98.0,death,2.5,3.67,3.57,0.708,Delhi Capitals,2026,9.944444444444445,10.0,9,11,10,tailender,tailender,True
A Raghuvanshi,645,23,437,66,23,20,28.04,54,1,0.13,0,0.0,17.08,11,4,0.478,0.174,147.6,0.204,0.053,0.151,0.623,0.309,217,350,78,139,244,54,0.336,0.543,0.121,156.12,143.44,144.44,powerplay,29.89,26.86,19.0,1.0,Kolkata Knight Riders,2026,3.9565217391304346,4.0,3,9,4,top_order,top_order_anchor,True
A Singh,2,5,10,0,0,4,0.4,1,0,0.2,3,0.6,0.55,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.8,0,0,2,0,2,8,0.0,0.0,1.0,,0.0,25.0,death,,0.4,2.0,0.354,Rajasthan Royals,2012,9.6,9.0,9,11,9,tailender,tailender,True
A Symonds,974,36,750,74,41,27,27.06,117,1,0.25,0,0.0,22.89,14,6,0.389,0.167,129.87,0.153,0.055,0.099,0.556,0.369,72,609,293,82,484,184,0.074,0.625,0.301,87.8,125.83,159.24,death,27.89,26.22,20.83,1.0,Deccan Chargers,2011,4.666666666666667,4.5,4,7,4,top_order,top_order_anchor,True
A Tomar,4,1,8,1,0,1,4.0,4,4,0.0,0,0.0,0.0,0,0,0.0,0.0,50.0,0.125,0.0,0.125,1.0,0.875,4,0,0,8,0,0,1.0,0.0,0.0,50.0,,,powerplay,,4.0,8.0,0.096,Kolkata Knight Riders,2022,2.0,2.0,2,2,2,opener,anchor_opener,False
A Uniyal,4,2,7,0,0,1,2.0,4,0,0.5,1,0.5,2.83,0,0,0.0,0.0,57.14,0.0,0.0,0.0,0.0,0.429,0,0,4,0,0,7,0.0,0.0,1.0,,,57.14,death,,2.0,3.5,0.154,Rajasthan Royals,2009,8.0,8.0,8,8,8,lower_order,tailender,False
A Zampa,15,5,24,1,0,5,3.0,7,0,0.0,1,0.2,2.92,0,0,0.0,0.0,62.5,0.042,0.0,0.042,0.267,0.5,0,9,6,0,14,10,0.0,0.6,0.4,,64.29,60.0,middle,1.0,3.5,4.8,0.412,Rajasthan Royals,2023,9.2,9.0,9,10,9,tailender,tailender,True
AA Bilakhia,69,7,85,5,0,5,9.86,22,1,0.286,0,0.0,7.58,0,0,0.0,0.0,81.18,0.059,0.0,0.059,0.29,0.471,23,10,36,32,20,33,0.333,0.145,0.522,71.88,50.0,109.09,death,9.33,10.25,12.14,0.792,Deccan Chargers,2009,5.142857142857143,6.0,3,7,3,top_order,middle_order,True
AA Chavan,12,3,11,2,0,2,4.0,7,1,0.333,0,0.0,3.0,0,0,0.0,0.0,109.09,0.182,0.0,0.182,0.667,0.455,0,1,11,0,3,8,0.0,0.083,0.917,,33.33,137.5,death,,4.0,3.67,0.233,Rajasthan Royals,2012,8.333333333333334,8.0,8,9,8,lower_order,tailender,False
AA Jhunjhunwala,217,15,210,19,5,13,14.47,53,0,0.133,1,0.067,15.45,2,1,0.133,0.067,103.33,0.114,0.024,0.09,0.488,0.429,24,124,69,34,125,51,0.111,0.571,0.318,70.59,99.2,135.29,death,16.75,13.64,14.0,1.0,Rajasthan Royals,2012,5.4375,5.5,4,7,4,top_order,middle_order,True
AA Kulkarni,9,2,8,2,0,2,4.5,9,0,0.0,1,0.5,6.36,0,0,0.0,0.0,112.5,0.25,0.0,0.25,0.889,0.625,9,0,0,8,0,0,1.0,0.0,0.0,112.5,,,powerplay,0.0,9.0,4.0,0.158,Lucknow Super Giants,2024,2.0,2.0,2,2,2,opener,anchor_opener,False
