player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
A Ashish Reddy,7.043478260869565,7.0,3,9,7,lower_order
A Badoni,5.222222222222222,6.0,1,7,6,middle_order
A Chandila,8.5,8.5,8,9,8,lower_order
A Chopra,2.6666666666666665,1.0,1,7,1,opener
A Choudhary,10.333333333333334,10.0,10,11,10,tailender
A Dananjaya,8.0,8.0,8,8,8,lower_order
A Flintoff,4.666666666666667,5.0,4,5,5,middle_order
A Kamboj,9.555555555555555,9.0,9,11,9,tailender
A Kumble,10.352941176470589,10.0,9,11,10,tailender
A Manohar,5.9,6.0,4,7,7,lower_order
A Mhatre,2.076923076923077,3.0,1,3,3,top_order
A Mishra,8.543859649122806,8.0,5,10,8,lower_order
A Mithun,8.25,8.0,7,9,8,lower_order
A Mukund,4.5,4.5,1,8,1,opener
A Nehra,10.181818181818182,10.0,9,11,10,tailender
A Nortje,9.944444444444445,10.0,9,11,10,tailender
A Raghuvanshi,3.8461538461538463,4.0,3,9,3,top_order
A Singh,9.6,9.0,9,11,9,tailender
A Symonds,4.666666666666667,4.5,4,7,4,top_order
A Tomar,1.0,1.0,1,1,1,opener
A Uniyal,8.0,8.0,8,8,8,lower_order
A Zampa,9.2,9.0,9,10,9,tailender
AA Bilakhia,5.142857142857143,6.0,3,7,3,top_order
AA Chavan,8.333333333333334,8.0,8,9,8,lower_order
AA Jhunjhunwala,5.4375,5.5,4,7,4,top_order
AA Kulkarni,1.0,1.0,1,1,1,opener
AA Noffke,8.0,8.0,8,8,8,lower_order
AB Agarkar,7.909090909090909,8.0,3,9,8,lower_order
AB Barath,4.0,5.0,1,6,1,opener
AB Dinda,10.529411764705882,11.0,9,11,11,tailender
AB McDonald,5.555555555555555,6.0,1,7,6,middle_order
AB de Villiers,3.888235294117647,4.0,1,6,4,top_order
AC Blizzard,1.0,1.0,1,1,1,opener
AC Gilchrist,1.0,1.0,1,1,1,opener
AC Thomas,9.75,10.0,8,11,11,tailender
AC Voges,5.571428571428571,5.0,5,7,5,middle_order
AD Hales,1.0,1.0,1,1,1,opener
AD Mascarenhas,6.7272727272727275,7.0,5,10,7,lower_order
AD Mathews,5.5476190476190474,6.0,4,7,6,middle_order
AD Nath,5.6,6.0,3,7,6,middle_order
AD Russell,5.869565217391305,6.0,3,8,6,middle_order
AF Milne,8.0,8.0,8,8,8,lower_order
AG Murtaza,9.666666666666666,10.0,9,10,10,tailender
AG Paunikar,1.4,1.0,1,3,1,opener
AJ Finch,2.2666666666666666,1.0,1,7,1,opener
AJ Hosein,8.333333333333334,8.0,8,9,8,lower_order
AJ Turner,5.666666666666667,5.5,5,7,5,middle_order
AJ Tye,8.307692307692308,8.0,7,9,8,lower_order
AK Markram,3.142857142857143,4.0,1,5,4,top_order
AL Menaria,4.695652173913044,5.0,3,7,4,top_order
AM Nayar,5.18,6.0,1,8,6,middle_order
AM Rahane,1.7696335078534031,1.0,1,8,1,opener
AN Ahmed,9.0,9.0,7,10,9,tailender
AN Ghosh,4.5,4.5,3,6,3,top_order
AP Dole,9.5,9.5,9,10,9,tailender
AP Majumdar,4.5,4.5,4,5,4,top_order
AP Tare,3.142857142857143,3.0,1,7,1,opener
AR Bawne,7.0,7.0,7,7,7,lower_order
AR Patel,6.392307692307693,7.0,3,9,7,lower_order
AS Joseph,9.0,9.0,8,10,9,tailender
AS Rajpoot,10.571428571428571,11.0,10,11,11,tailender
AS Raut,6.8125,7.0,4,8,7,lower_order
AS Roy,7.583333333333333,8.0,3,9,9,tailender
AS Yadav,7.0,7.0,6,8,7,lower_order
AT Carey,6.0,6.0,6,6,6,middle_order
AT Rayudu,4.181818181818182,4.0,1,8,4,top_order
AU Rashid,8.0,8.0,8,8,8,lower_order
AUK Pathan,5.0,5.0,3,6,6,middle_order
Abdul Basith,8.0,8.0,8,8,8,lower_order
Abdul Samad,6.333333333333333,7.0,3,8,7,lower_order
Abdur Razzak,11.0,11.0,11,11,11,tailender
Abhishek Sharma,2.2650602409638556,1.0,1,8,1,opener
Abishek Porel,3.566666666666667,3.0,1,9,3,top_order
Akash Deep,9.6,9.0,9,11,9,tailender
Akash Madhwal,11.0,11.0,11,11,11,tailender
Aman Hakim Khan,7.4,7.0,6,9,7,lower_order
Aniket Verma,5.842105263157895,6.0,5,7,5,middle_order
Anirudh Singh,5.0,5.5,3,6,6,middle_order
Ankit Sharma,7.9,9.0,1,10,10,tailender
Ankit Soni,10.333333333333334,11.0,9,11,11,tailender
Anmolpreet Singh,2.2222222222222223,2.0,1,3,3,top_order
Anuj Rawat,4.142857142857143,5.0,1,8,1,opener
Anureet Singh,9.5,9.5,8,11,9,tailender
Arjun Tendulkar,9.0,9.0,9,9,9,tailender
Arshad Khan,7.818181818181818,8.0,6,9,9,tailender
Arshad Khan (2),8.0,8.0,8,8,8,lower_order
Arshdeep Singh,10.785714285714286,11.0,10,11,11,tailender
Ashok Sharma,10.0,10.0,10,10,10,tailender
Ashutosh Sharma,7.142857142857143,7.0,5,8,7,lower_order
Ashwani Kumar,10.0,10.0,10,10,10,tailender
Atharva Taide,2.1,2.5,1,3,3,top_order
Auqib Nabi,8.0,8.0,8,8,8,lower_order
Avesh Khan,9.823529411764707,10.0,8,11,10,tailender
Azhar Mahmood,5.333333333333333,6.0,3,8,3,top_order
Azmatullah Omarzai,6.111111111111111,6.0,4,9,4,top_order
B Akhil,7.363636363636363,7.0,7,10,7,lower_order
B Chipli,4.285714285714286,5.0,1,7,3,top_order
B Indrajith,2.6666666666666665,2.0,2,4,2,opener
B Kumar,9.03896103896104,9.0,8,11,9,tailender
B Laughlin,10.5,11.0,9,11,11,tailender
B Lee,8.263157894736842,8.0,7,9,8,lower_order
B Sai Sudharsan,1.9387755102040816,1.0,1,4,1,opener
B Stanlake,11.0,11.0,11,11,11,tailender
B Sumanth,7.25,7.0,7,8,7,lower_order
BA Bhatt,11.0,11.0,11,11,11,tailender
BA Stokes,3.75,4.0,1,6,5,middle_order
BAW Mendis,9.666666666666666,9.0,9,11,9,tailender
BB McCullum,1.2660550458715596,1.0,1,6,1,opener
BB Samantray,6.0,5.5,5,8,5,middle_order
BB Sran,9.11111111111111,9.0,8,10,9,tailender
BCJ Cutting,6.294117647058823,6.0,3,8,6,middle_order
BE Hendricks,9.0,9.0,9,9,9,tailender
BJ Haddin,1.0,1.0,1,1,1,opener
BJ Hodge,4.365079365079365,4.0,1,8,5,middle_order
BJ Rohrer,5.25,5.0,5,6,5,middle_order
BKG Mendis,3.0,3.0,3,3,3,top_order
BMAJ Mendis,5.0,5.0,5,5,5,middle_order
BR Dunk,1.0,1.0,1,1,1,opener
BR Sharath,4.0,4.0,4,4,4,top_order
Basil Thampi,9.375,9.0,9,10,9,tailender
Bipul Sharma,7.529411764705882,8.0,6,9,8,lower_order
Brijesh Sharma,10.0,10.0,10,10,10,tailender
C Bosch,8.0,8.0,8,8,8,lower_order
C Connolly,3.0,3.0,3,3,3,top_order
C Green,4.166666666666667,4.0,1,7,3,top_order
C Madan,1.0,1.0,1,1,1,opener
C Munro,2.5833333333333335,3.0,1,6,1,opener
C Nanda,10.0,10.0,10,10,10,tailender
C Sakariya,9.75,10.0,9,11,10,tailender
C de Grandhomme,5.9523809523809526,6.0,1,7,6,middle_order
CA Ingram,4.666666666666667,5.0,3,6,5,middle_order
CA Lynn,1.4047619047619047,1.0,1,6,1,opener
CA Pujara,2.9545454545454546,1.5,1,7,1,opener
CH Gayle,1.3687943262411348,1.0,1,4,1,opener
CH Morris,7.196078431372549,7.0,4,9,8,lower_order
CJ Anderson,4.862068965517241,5.0,3,6,5,middle_order
CJ Ferguson,5.25,5.0,3,7,5,middle_order
CJ Jordan,7.846153846153846,8.0,7,10,8,lower_order
CJ McKay,8.0,8.0,8,8,8,lower_order
CK Kapugedera,5.666666666666667,6.0,5,6,6,middle_order
CK Langeveldt,10.0,10.0,10,10,10,tailender
CL White,4.222222222222222,4.0,1,7,4,top_order
CM Gautam,4.230769230769231,3.0,1,8,1,opener
CR Brathwaite,6.571428571428571,7.0,5,7,7,lower_order
CR Woakes,7.666666666666667,8.0,7,8,8,lower_order
CRD Fernando,10.0,10.0,9,11,9,tailender
CV Varun,10.642857142857142,11.0,10,11,11,tailender
D Brevis,4.1,4.0,1,6,3,top_order
D Ferreira,6.5,6.5,5,8,6,middle_order
D Kalyankrishna,9.0,9.0,9,9,9,tailender
D Padikkal,2.475609756097561,3.0,1,6,3,top_order
D Pretorius,8.2,8.0,8,9,8,lower_order
D Salunkhe,8.0,8.0,8,8,8,lower_order
D Wiese,7.0,7.0,5,8,7,lower_order
D du Preez,8.0,8.0,8,8,8,lower_order
DA Miller,4.929577464788732,5.0,3,8,5,middle_order
DA Payne,10.0,10.0,10,10,10,tailender
DA Warner,1.315217391304348,1.0,1,5,1,opener
DAJ Bracewell,8.0,8.0,8,8,8,lower_order
DB Das,5.681818181818182,6.0,3,7,6,middle_order
DB Ravi Teja,5.84,7.0,1,8,7,lower_order
DE Bollinger,10.5,10.5,10,11,10,tailender
DG Nalkande,7.5,7.5,6,9,6,middle_order
DH Yagnik,6.529411764705882,7.0,3,8,8,lower_order
DJ Bravo,5.9734513274336285,6.0,1,9,6,middle_order
DJ Harris,1.0,1.0,1,1,1,opener
DJ Hooda,4.930693069306931,5.0,1,8,5,middle_order
DJ Hussey,4.459016393442623,4.0,3,6,4,top_order
DJ Jacobs,1.0,1.0,1,1,1,opener
DJ Malan,4.0,4.0,4,4,4,top_order
DJ Mitchell,4.2,4.0,3,8,3,top_order
DJ Muthuswami,11.0,11.0,11,11,11,tailender
DJ Thornely,3.25,3.0,3,4,3,top_order
DJ Willey,7.0,9.0,4,9,9,tailender
DJG Sammy,5.65,5.5,4,7,5,middle_order
DJM Short,1.5714285714285714,2.0,1,2,2,opener
DL Chahar,8.61111111111111,9.0,6,11,9,tailender
DL Vettori,7.470588235294118,7.0,6,9,7,lower_order
DM Bravo,4.0,4.0,4,4,4,top_order
DNT Zoysa,7.5,7.5,7,8,7,lower_order
DP Conway,1.1071428571428572,1.0,1,2,1,opener
DP Nannes,10.666666666666666,11.0,10,11,11,tailender
DP Vijaykumar,10.5,10.5,10,11,10,tailender
DPMD Jayawardene,3.3076923076923075,4.0,1,6,5,middle_order
DR Martyn,3.0,3.0,3,3,3,top_order
DR Sams,6.538461538461538,7.0,3,8,7,lower_order
DR Shorey,5.0,5.0,4,6,4,top_order
DR Smith,2.808988764044944,2.0,1,7,2,opener
DS Kulkarni,9.565217391304348,10.0,7,11,10,tailender
