player,match_file,date,season,season_start_year,venue,team,opponent,winner,runs,balls_faced,fours,sixes,dismissed,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls
BB McCullum,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,158,73,10,13,0,41,20,58,32,59,21,19
DJ Hussey,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,12,12,1,0,1,0,0,8,6,4,6,4
Mohammad Hafeez,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,5,3,1,0,0,0,0,0,0,5,3,1
RT Ponting,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,20,20,1,1,1,0,4,20,16,0,0,9
SC Ganguly,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,10,12,2,0,1,10,12,0,0,0,0,8
AA Noffke,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,9,10,1,0,1,0,0,9,10,0,0,4
B Akhil,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,0,2,0,0,1,0,0,0,2,0,0,2
CL White,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,6,10,0,0,1,1,2,5,8,0,0,5
JH Kallis,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,8,7,0,1,1,8,7,0,0,0,0,4
MV Boucher,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,7,9,1,0,1,1,3,6,6,0,0,6
P Kumar,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,18,15,1,2,0,0,0,18,15,0,0,10
R Dravid,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,2,3,0,0,1,2,3,0,0,0,0,1
SB Joshi,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,3,6,0,0,1,0,0,3,5,0,1,3
V Kohli,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,1,5,0,0,1,1,5,0,0,0,0,4
W Jaffer,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,6,16,0,0,1,6,16,0,0,0,0,11
Z Khan,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,3,8,0,0,1,0,0,3,8,0,0,5
JDP Oram,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,13,10,0,1,1,0,0,7,7,6,3,3
MEK Hussey,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,116,54,8,9,0,14,12,60,29,42,13,13
ML Hayden,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,25,17,4,1,1,21,15,4,2,0,0,9
MS Dhoni,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,2,3,0,0,1,0,0,2,3,0,0,1
PA Patel,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,15,10,3,0,1,15,10,0,0,0,0,5
S Badrinath,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,31,14,3,2,0,0,0,0,0,31,14,2
SK Raina,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,32,13,2,3,1,0,0,32,13,0,0,3
IK Pathan,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,3,5,0,0,0,0,0,0,0,3,5,2
JR Hopes,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,71,33,10,3,1,37,17,34,16,0,0,7
K Goel,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,24,19,2,1,1,24,19,0,0,0,0,7
KC Sangakkara,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,54,33,5,2,1,0,0,38,24,16,9,6
SM Katich,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,21,17,0,1,0,0,0,1,1,20,16,4
Yuvraj Singh,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,23,13,1,2,1,0,0,23,13,0,0,3
D Salunkhe,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,26,20,4,0,0,0,0,8,7,18,13,7
DS Lehmann,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,1,2,0,0,1,0,0,1,2,0,0,1
M Kaif,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,9,19,0,0,1,1,6,8,13,0,0,11
M Rawat,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,2,4,0,0,1,0,0,2,4,0,0,2
RA Jadeja,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,29,23,2,2,1,0,0,29,23,0,0,10
SK Trivedi,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,3,7,0,0,0,0,0,0,0,3,7,4
SK Warne,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,14,13,2,0,1,0,0,2,3,12,10,6
SR Watson,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,21,15,4,0,1,20,13,1,2,0,0,6
