player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
A Ashish Reddy,18,20,262,400,6,2,9.16,22.22,14.56,0.9,0.79,3,0.15,0.302,0.3,0.1,20.0,8.17,10.04,0.023,0.592,0.385,middle,middle_overs_bowler,1.29,0.69,Sunrisers Hyderabad
A Badoni,4,7,35,50,0,0,8.57,12.5,8.75,0.571,0.79,1,0.143,0.229,0.0,0.0,0.0,10.33,7.12,0.029,0.514,0.457,powerplay,death_bowler,1.0,0.25,Lucknow Super Giants
A Chandila,11,12,234,245,0,0,6.28,22.27,21.27,0.917,1.24,3,0.25,0.44,0.0,0.0,5.79,7.14,6.0,0.615,0.359,0.026,powerplay,powerplay_bowler,1.29,0.4,Rajasthan Royals
A Choudhary,5,5,101,144,6,1,8.55,28.8,20.2,1.0,0.71,1,0.2,0.416,1.2,0.2,7.67,8.49,10.0,0.356,0.406,0.238,powerplay,all_phases_bowler,,1.0,Royal Challengers Bangalore
A Kamboj,20,16,301,477,10,6,9.51,23.85,15.05,1.25,0.93,5,0.312,0.389,0.625,0.375,9.18,10.0,10.29,0.658,0.179,0.163,powerplay,powerplay_bowler,1.83,0.9,Chennai Super Kings
A Kumble,45,42,965,1089,13,5,6.77,24.2,21.44,1.071,1.26,11,0.262,0.388,0.31,0.119,5.0,6.8,7.8,0.112,0.715,0.173,powerplay,middle_overs_bowler,1.55,0.64,Royal Challengers Bangalore
A Mishra,174,162,3371,4193,52,21,7.46,24.1,19.37,1.074,1.07,46,0.284,0.352,0.321,0.13,7.57,7.05,9.57,0.041,0.805,0.155,middle,middle_overs_bowler,1.33,0.85,Delhi Daredevils
A Mithun,7,16,288,477,15,9,9.94,68.14,41.14,0.438,0.63,1,0.062,0.312,0.938,0.562,9.55,9.04,11.92,0.229,0.5,0.271,middle,middle_overs_bowler,0.44,0.43,Royal Challengers Bangalore
A Nehra,106,88,1908,2537,57,9,7.98,23.93,18.0,1.205,1.06,29,0.33,0.418,0.648,0.102,7.61,7.42,9.04,0.573,0.151,0.276,middle,powerplay_bowler,1.54,0.91,Delhi Daredevils
A Nortje,61,49,1120,1740,41,8,9.32,28.52,18.36,1.245,0.95,21,0.429,0.377,0.837,0.163,8.62,8.8,10.31,0.396,0.211,0.393,powerplay,all_phases_bowler,1.57,1.0,Delhi Capitals
A Singh,28,23,473,639,12,1,8.11,22.82,16.89,1.217,1.13,8,0.348,0.4,0.522,0.043,7.0,7.38,10.14,0.558,0.101,0.34,powerplay,powerplay_bowler,1.67,0.73,Rajasthan Royals
A Symonds,20,30,527,694,12,1,7.9,34.7,26.35,0.667,0.8,4,0.133,0.361,0.4,0.033,5.79,7.95,10.63,0.216,0.626,0.157,powerplay,middle_overs_bowler,0.93,0.4,Deccan Chargers
A Zampa,31,22,467,656,8,0,8.43,21.16,15.06,1.409,1.33,7,0.318,0.298,0.364,0.0,6.86,7.89,11.19,0.09,0.719,0.191,powerplay,middle_overs_bowler,1.27,1.55,Rajasthan Royals
