player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
A Ashish Reddy,18,20,262,400,6,2,9.16,22.22,14.56,0.9,0.79,3,0.15,0.302,0.3,0.1,20,211,169,6,155,101,20.0,8.17,10.04,0.023,0.592,0.385,middle,death_bowler,1.29,0.69,13.1,1.0,Sunrisers Hyderabad,2016,True
A Badoni,4,7,35,50,0,0,8.57,12.5,8.75,0.571,0.79,1,0.143,0.229,0.0,0.0,0,31,19,1,18,16,0.0,10.33,7.12,0.029,0.514,0.457,powerplay,part_time_bowler,1.0,0.25,5.0,0.583,Lucknow Super Giants,2025,True
A Chandila,11,12,234,245,0,0,6.28,22.27,21.27,0.917,1.24,3,0.25,0.44,0.0,0.0,139,100,6,144,84,6,5.79,7.14,6.0,0.615,0.359,0.026,powerplay,powerplay_bowler,1.29,0.4,19.5,1.0,Rajasthan Royals,2013,True
A Choudhary,5,5,101,144,6,1,8.55,28.8,20.2,1.0,0.71,1,0.2,0.416,1.2,0.2,46,58,40,36,41,24,7.67,8.49,10.0,0.356,0.406,0.238,powerplay,powerplay_bowler,,1.0,20.2,0.733,Royal Challengers Bangalore,2017,True
A Dananjaya,0,1,24,47,1,0,11.75,,,0.0,0.0,0,0.0,0.25,1.0,0.0,12,35,0,6,18,0,12.0,11.67,,0.25,0.75,0.0,middle,part_time_bowler,,0.0,24.0,0.162,Mumbai Indians,2018,False
A Flintoff,2,3,66,106,0,0,9.64,53.0,33.0,0.667,0.58,0,0.0,0.303,0.0,0.0,21,26,59,12,30,24,10.5,5.2,14.75,0.182,0.455,0.364,middle,death_bowler,1.0,0.5,22.0,0.462,Chennai Super Kings,2009,False
A Kamboj,20,16,301,477,10,6,9.51,23.85,15.05,1.25,0.93,5,0.312,0.389,0.625,0.375,303,90,84,198,54,49,9.18,10.0,10.29,0.658,0.179,0.163,powerplay,powerplay_bowler,1.83,0.9,18.81,1.0,Chennai Super Kings,2026,True
A Kumble,45,42,965,1089,13,5,6.77,24.2,21.44,1.071,1.26,11,0.262,0.388,0.31,0.119,90,782,217,108,690,167,5.0,6.8,7.8,0.112,0.715,0.173,powerplay,middle_overs_bowler,1.55,0.64,22.98,1.0,Royal Challengers Bangalore,2009,True
A Mishra,174,162,3371,4193,52,21,7.46,24.1,19.37,1.074,1.07,46,0.284,0.352,0.321,0.13,174,3188,831,138,2712,521,7.57,7.05,9.57,0.041,0.805,0.155,middle,middle_overs_bowler,1.33,0.85,20.81,1.0,Delhi Daredevils,2024,True
A Mithun,7,16,288,477,15,9,9.94,68.14,41.14,0.438,0.63,1,0.062,0.312,0.938,0.562,105,217,155,66,144,78,9.55,9.04,11.92,0.229,0.5,0.271,middle,middle_overs_bowler,0.44,0.43,18.0,1.0,Royal Challengers Bangalore,2013,True
