player,match_file,date,season,season_start_year,venue,team,opponent,winner,runs_conceded,balls_bowled,wickets,wides,noballs,dot_balls,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls
AA Noffke,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,40,24,1,5,0,7,22,6,7,6,11,12
CL White,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,24,6,0,2,0,0,0,0,24,6,0,0
JH Kallis,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,48,24,1,1,0,9,0,0,27,18,21,6
P Kumar,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,38,24,0,1,0,13,16,18,0,0,22,6
SB Joshi,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,26,18,0,0,0,4,0,0,26,18,0,0
Z Khan,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,38,24,1,0,0,8,19,12,5,6,14,6
AB Agarkar,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,25,24,3,4,0,15,8,6,17,18,0,0
AB Dinda,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,9,18,2,2,0,11,9,18,0,0,0,0
I Sharma,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,7,18,1,1,0,13,4,12,3,6,0,0
LR Shukla,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,12,7,1,3,0,3,0,0,11,6,1,1
SC Ganguly,335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,21,24,2,1,0,13,0,0,21,24,0,0
B Lee,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,35,24,1,0,1,12,20,18,0,0,15,6
IK Pathan,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,47,24,2,0,0,6,0,0,22,12,25,12
JR Hopes,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,53,24,1,0,0,8,11,6,17,12,25,6
K Goel,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,25,12,0,0,0,2,0,0,25,12,0,0
PP Chawla,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,19,6,0,0,0,1,0,0,19,6,0,0
S Sreesanth,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,35,18,0,1,0,5,21,12,0,0,14,6
WA Mota,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,24,12,1,2,0,2,0,0,24,12,0,0
JDP Oram,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,37,24,0,0,0,6,30,18,0,0,7,6
Joginder Sharma,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,47,24,1,1,0,5,0,0,38,18,9,6
M Muralitharan,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,33,24,1,2,0,7,0,0,29,18,4,6
MS Gony,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,42,24,1,2,0,7,33,18,0,0,9,6
P Amarnath,335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,42,24,1,0,0,4,0,0,32,18,10,6
B Geeves,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,41,24,0,0,0,8,24,12,7,6,10,6
DL Vettori,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,35,24,1,0,0,8,0,0,21,12,14,12
GD McGrath,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,21,24,1,1,0,16,13,18,0,0,8,6
MF Maharoof,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,11,24,2,0,0,13,2,6,8,12,1,6
R Bhatia,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,17,24,2,2,0,13,0,0,17,24,0,0
D Salunkhe,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,11,6,0,5,0,0,0,0,11,6,0,0
MM Patel,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,25,18,0,0,0,10,25,18,0,0,0,0
SK Trivedi,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,32,18,0,3,0,6,7,6,25,12,0,0
SK Warne,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,16,12,0,0,0,2,0,0,16,12,0,0
SR Watson,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,31,24,1,1,0,9,23,12,8,12,0,0
YK Pathan,335984,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,17,13,0,1,0,4,0,0,13,12,4,1
B Akhil,335985,2008-04-20,2008,2008,Wankhede Stadium,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,17,18,2,0,0,8,0,0,7,12,10,6
JH Kallis,335985,2008-04-20,2008,2008,Wankhede Stadium,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,43,18,0,2,0,3,19,6,11,6,13,6
