player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,ml_suitability_score
A Aravinddaraj,Puducherry,2020.0,0.0,67.61,33.8,False,False,pure_bowler,0.0,1.0,3.0,0.0,0.0,tailender,6.0,9.0,156.0,0.667,8.15,middle_overs_bowler,1.0156394145298933
A Ashish Reddy,Hyderabad (India),2018.0,43.06,61.86,52.46,False,False,utility_player,135.0,12.0,129.0,11.25,104.65,middle_order,4.0,7.0,126.0,0.571,9.19,middle_overs_bowler,5.728440681991649
A Awasthi,Arunachal Pradesh,2023.0,103.23,0.0,51.62,False,False,pure_batter,52.0,2.0,23.0,26.0,226.09,aggressive_opener,,,,,,,97.65651245882599
A Badoni,Delhi,2024.0,61.61,58.62,60.11,False,False,utility_player,267.0,10.0,216.0,26.7,123.61,top_order_anchor,2.0,4.0,42.0,0.5,10.57,part_time_bowler,92.74262113720924
A Bharwad,Baroda,2023.0,31.5,0.0,15.75,False,False,pure_batter,18.0,1.0,25.0,18.0,72.0,anchor_opener,,,,,,,1.0650125141337563
A Choudhary,Rajasthan,2020.0,39.17,90.92,65.04,False,False,pure_bowler,34.0,6.0,32.0,5.67,106.25,tailender,30.0,25.0,510.0,1.2,6.89,death_bowler,97.25121430464337
A G Pradeep,Andhra,2015.0,34.88,0.0,17.44,False,False,pure_batter,51.0,5.0,57.0,10.2,89.47,middle_order,,,,,,,1.1102354488491912
A Kamboj,Haryana,2023.0,27.82,102.06,64.94,False,False,pure_bowler,9.0,2.0,12.0,4.5,75.0,tailender,6.0,4.0,66.0,1.5,7.36,powerplay_bowler,97.20853382079173
A Manohar,Karnataka,2023.0,80.69,0.0,40.34,False,False,pure_batter,282.0,8.0,185.0,35.25,152.43,finisher,,,,,,,97.87557144988745
A Mishra,Haryana,2022.0,40.78,75.54,58.16,False,False,pure_bowler,57.0,12.0,51.0,4.75,111.76,tailender,23.0,26.0,510.0,0.885,8.09,middle_overs_bowler,94.82083003660091
A Mithun,Karnataka,2020.0,38.58,82.26,60.42,False,False,pure_bowler,50.0,13.0,47.0,3.85,106.38,tailender,32.0,31.0,622.0,1.032,8.27,powerplay_bowler,95.24044144864061
A Mukund,Tamil Nadu,2017.0,65.12,0.0,32.56,False,False,pure_batter,170.0,7.0,136.0,24.29,125.0,anchor_opener,,,,,,,97.41500589870441
A Nagwaswalla,Gujarat,2021.0,37.7,96.74,67.22,False,False,pure_bowler,26.0,7.0,25.0,3.71,104.0,tailender,36.0,26.0,543.0,1.385,7.22,death_bowler,97.45369953988107
A Nehra,Delhi,2015.0,0.0,64.16,32.08,False,False,pure_bowler,,,,,,,1.0,2.0,36.0,0.5,7.67,part_time_bowler,1.2058859220100995
A Palkar,Maharashtra,2021.0,35.7,101.8,68.75,False,False,pure_bowler,2.0,1.0,2.0,2.0,100.0,tailender,9.0,6.0,107.0,1.5,6.56,death_bowler,97.34684634038636
A Panwar,Saurashtra,2024.0,0.0,74.08,37.04,False,False,pure_bowler,,,,,,,1.0,1.0,24.0,1.0,12.75,part_time_bowler,1.6011892744042053
A Prateek Reddy,Hyderabad (India),2022.0,9.28,0.0,4.64,False,False,pure_batter,3.0,2.0,12.0,1.5,25.0,anchor_opener,,,,,,,0.9935609180383874
A Pratyush Kumar,Baroda,2018.0,38.4,0.0,19.2,False,False,pure_batter,24.0,1.0,28.0,24.0,85.71,anchor_opener,,,,,,,1.1302546147938841
A Raghuvanshi,Mumbai,2023.0,55.1,0.0,27.55,False,False,pure_batter,74.0,3.0,71.0,24.67,104.23,anchor_opener,,,,,,,84.2220223853538
A Sheth,Baroda,2024.0,47.93,93.98,70.96,False,True,bowling_allrounder,215.0,24.0,168.0,8.96,127.98,tailender,59.0,44.0,888.0,1.341,7.89,death_bowler,97.2983867627778
A Singhania,Meghalaya,2020.0,29.92,68.97,49.44,False,False,pure_bowler,44.0,8.0,55.0,5.5,80.0,tailender,9.0,13.0,203.0,0.692,7.18,middle_overs_bowler,1.8857225231613441
A Thapa,Arunachal Pradesh,2023.0,0.0,77.32,38.66,False,False,pure_bowler,0.0,1.0,3.0,0.0,0.0,tailender,1.0,1.0,6.0,1.0,15.0,part_time_bowler,1.3648940282814752
A Tomar,Rajasthan,2018.0,25.19,0.0,12.6,False,False,pure_batter,37.0,4.0,59.0,9.25,62.71,anchor_opener,,,,,,,1.0333591662259607
AA Bamal,Services,2017.0,50.17,67.19,58.68,False,False,pure_bowler,26.0,4.0,19.0,6.5,136.84,middle_order,3.0,5.0,120.0,0.6,5.9,middle_overs_bowler,93.72155894895351
AA Barot,Saurashtra,2020.0,72.15,79.19,75.67,False,False,pure_batter,348.0,11.0,219.0,31.64,158.9,aggressive_opener,1.0,1.0,18.0,1.0,10.33,part_time_bowler,97.98865002111272
