player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
A Ashish Reddy,135,12,129,8,3,12,11.25,37,0,0.0,1,0.083,10.72,1,0,0.083,0.0,104.65,0.085,0.023,0.062,0.37,0.318,0.052,0.541,0.407,87.5,92.41,130.95,death,19.33,8.56,Hyderabad (India),6,5.583333333333333,middle_order,middle_order
A Badoni,267,10,216,22,10,5,26.7,80,5,0.5,0,0.0,22.8,3,1,0.3,0.1,123.61,0.148,0.046,0.102,0.554,0.356,0.079,0.427,0.494,91.3,99.13,169.23,death,25.33,28.75,Delhi,4,4.0,top_order,top_order_anchor
A Choudhary,34,6,32,2,1,2,5.67,11,0,0.667,1,0.167,3.93,0,0,0.0,0.0,106.25,0.094,0.031,0.062,0.412,0.344,0.0,0.176,0.824,,150.0,100.0,mid,4.0,6.0,Rajasthan,10,10.0,tailender,tailender
A G Pradeep,51,5,57,7,0,5,10.2,26,0,0.0,1,0.2,11.97,0,0,0.0,0.0,89.47,0.123,0.0,0.123,0.549,0.491,0.667,0.333,0.0,103.03,70.83,,pp,26.0,6.25,Andhra,3,3.4,top_order,middle_order
A Manohar,282,8,185,19,18,4,35.25,70,1,0.5,0,0.0,24.25,4,2,0.5,0.25,152.43,0.2,0.097,0.103,0.652,0.314,0.007,0.443,0.55,33.33,122.55,201.3,death,32.67,36.8,Karnataka,5,5.25,middle_order,finisher
A Mishra,57,12,51,7,0,6,4.75,14,0,0.5,3,0.25,5.03,0,0,0.0,0.0,111.76,0.137,0.0,0.137,0.491,0.353,0.0,0.0,1.0,,0.0,114.0,death,7.0,3.14,Haryana,8,8.307692307692308,lower_order,tailender
A Mithun,50,13,47,5,2,11,3.85,18,0,0.154,4,0.308,5.18,0,0,0.0,0.0,106.38,0.149,0.043,0.106,0.64,0.511,0.0,0.02,0.98,0.0,33.33,113.95,death,5.0,2.86,Karnataka,8,8.285714285714286,lower_order,tailender
A Mukund,170,7,136,16,5,6,24.29,67,1,0.143,0,0.0,23.49,3,1,0.429,0.143,125.0,0.154,0.037,0.118,0.553,0.39,0.494,0.506,0.0,98.82,168.63,,mid,28.17,1.0,Tamil Nadu,1,1.2857142857142858,opener,anchor_opener
A Nagwaswalla,26,7,25,3,1,3,3.71,12,1,0.571,0,0.0,3.99,0,0,0.0,0.0,104.0,0.16,0.04,0.12,0.692,0.52,0.0,0.0,1.0,,,104.0,death,1.0,4.17,Gujarat,10,10.142857142857142,tailender,tailender
A Raghuvanshi,74,3,71,5,3,2,24.67,32,16,0.333,0,0.0,8.08,1,0,0.333,0.0,104.23,0.113,0.042,0.07,0.514,0.437,0.757,0.243,0.0,119.15,75.0,,pp,24.67,,Mumbai,2,2.0,opener,anchor_opener
A Sheth,215,24,168,18,7,8,8.96,29,0,0.667,1,0.042,8.06,0,0,0.0,0.0,127.98,0.149,0.042,0.107,0.53,0.333,0.06,0.093,0.847,130.0,57.14,147.97,death,6.33,11.58,Baroda,8,7.423076923076923,lower_order,tailender
A Singhania,44,8,55,3,2,6,5.5,18,0,0.25,3,0.375,7.23,0,0,0.0,0.0,80.0,0.091,0.036,0.055,0.545,0.6,0.0,0.341,0.659,,55.56,103.57,death,,5.5,Meghalaya,9,9.0,tailender,tailender
A Tomar,37,4,59,3,0,4,9.25,14,5,0.0,0,0.0,4.03,0,0,0.0,0.0,62.71,0.051,0.0,0.051,0.324,0.593,0.784,0.216,0.0,64.44,57.14,,pp,9.25,,Rajasthan,1,1.5,opener,anchor_opener
AA Bamal,26,4,19,1,2,4,6.5,18,0,0.0,1,0.25,7.9,0,0,0.0,0.0,136.84,0.158,0.105,0.053,0.615,0.421,0.154,0.192,0.654,50.0,125.0,242.86,death,18.0,2.67,Services,6,5.75,middle_order,finisher
AA Barot,348,11,219,38,14,11,31.64,122,4,0.0,0,0.0,38.91,2,2,0.182,0.182,158.9,0.237,0.064,0.174,0.678,0.288,0.422,0.477,0.101,133.64,176.6,233.33,death,41.43,14.5,Saurashtra,2,2.5454545454545454,opener,aggressive_opener
AA Chakraborty,4,3,9,0,0,1,1.33,2,1,0.667,0,0.0,0.58,0,0,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.556,0.0,0.0,1.0,,,44.44,death,,1.33,Tripura,10,10.333333333333334,tailender,tailender
AA Herwadkar,465,17,414,48,10,17,27.35,73,3,0.0,0,0.0,21.82,7,3,0.412,0.176,112.32,0.14,0.024,0.116,0.542,0.42,0.611,0.288,0.101,116.39,95.71,156.67,death,17.25,36.33,Mumbai,1,1.0,opener,anchor_opener
AA Kazi,61,4,54,4,2,4,15.25,36,0,0.0,1,0.25,15.09,1,0,0.25,0.0,112.96,0.111,0.037,0.074,0.459,0.333,0.0,0.426,0.574,0.0,83.87,166.67,death,,15.25,Nagaland,6,5.75,middle_order,finisher
AA Sanklecha,14,3,9,1,1,2,4.67,11,1,0.333,0,0.0,5.51,0,0,0.0,0.0,155.56,0.222,0.111,0.111,0.714,0.333,0.0,0.857,0.143,,171.43,100.0,mid,4.67,,Maharashtra,6,7.5,middle_order,middle_order
AB Dinda,59,9,64,4,2,6,6.56,22,1,0.333,0,0.0,8.47,0,0,0.0,0.0,92.19,0.094,0.031,0.062,0.475,0.5,0.0,0.186,0.814,,73.33,97.96,death,,6.56,Bengal,9,9.3,tailender,tailender
AD Chopra,113,3,68,12,5,3,37.67,76,9,0.0,0,0.0,34.53,1,1,0.333,0.333,166.18,0.25,0.074,0.176,0.69,0.294,0.451,0.363,0.186,154.55,146.43,300.0,death,,37.67,Mizoram,2,2.0,opener,aggressive_opener
AD Nath,700,34,578,62,17,24,20.59,80,0,0.294,2,0.059,18.87,10,2,0.294,0.059,121.11,0.137,0.029,0.107,0.5,0.355,0.247,0.579,0.174,120.14,117.73,135.56,death,21.43,19.23,Uttar Pradesh,4,4.2,top_order,middle_order
AG Paunikar,82,7,66,8,3,4,11.71,23,1,0.429,0,0.0,8.26,0,0,0.0,0.0,124.24,0.167,0.045,0.121,0.61,0.379,0.0,0.427,0.573,,112.9,134.29,death,10.67,12.5,Railways,6,5.714285714285714,middle_order,middle_order
AH Hooda,2,4,10,0,0,3,0.5,2,0,0.25,2,0.5,1.0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.0,,,20.0,death,,0.5,Haryana,11,10.4,tailender,tailender
AK Chahal,28,3,21,1,2,2,9.33,12,4,0.333,0,0.0,4.62,0,0,0.0,0.0,133.33,0.143,0.095,0.048,0.571,0.333,0.0,0.0,1.0,,,133.33,death,12.0,8.0,Haryana,8,9.0,lower_order,tailender
AK Sarkar,8,4,9,0,1,3,2.0,6,0,0.25,2,0.5,2.83,0,0,0.0,0.0,88.89,0.111,0.111,0.0,0.75,0.667,0.0,0.0,1.0,,,88.89,death,6.0,0.67,Tripura,9,9.25,tailender,tailender
AKS Bains,433,23,362,54,9,21,18.83,68,0,0.087,2,0.087,18.44,5,3,0.217,0.13,119.61,0.174,0.025,0.149,0.624,0.414,0.721,0.266,0.014,127.35,103.6,100.0,pp,25.08,12.0,Himachal,2,1.9166666666666667,opener,aggressive_opener
AL Menaria,232,15,208,27,5,15,15.47,67,0,0.0,2,0.133,19.52,2,2,0.133,0.133,111.54,0.154,0.024,0.13,0.595,0.433,0.522,0.392,0.086,124.74,96.81,117.65,pp,13.0,19.17,Rajasthan,4,3.6,top_order,middle_order
AM Nayar,135,6,95,11,6,3,22.5,49,0,0.5,1,0.167,18.75,2,0,0.333,0.0,142.11,0.179,0.063,0.116,0.593,0.295,0.0,0.326,0.674,,97.78,182.0,death,14.33,30.67,Mumbai,5,5.0,middle_order,finisher
AM Rahane,682,20,489,73,19,18,34.1,98,0,0.1,1,0.05,32.36,10,6,0.5,0.3,139.47,0.188,0.039,0.149,0.595,0.323,0.46,0.455,0.085,135.34,144.19,138.1,mid,32.62,40.0,Mumbai,2,2.1,opener,aggressive_opener
AM Reddy,29,3,31,4,0,3,9.67,16,1,0.0,0,0.0,7.77,0,0,0.0,0.0,93.55,0.129,0.0,0.129,0.552,0.516,1.0,0.0,0.0,93.55,,,pp,8.5,12.0,Andhra,1,1.0,opener,anchor_opener
AN Ahmed,85,14,81,5,3,12,6.07,26,0,0.143,1,0.071,7.11,0,0,0.0,0.0,104.94,0.099,0.037,0.062,0.447,0.395,0.012,0.4,0.588,33.33,130.77,96.15,mid,,6.07,Assam,9,8.214285714285714,tailender,tailender
AN Ghosh,81,5,89,6,1,5,16.2,26,0,0.0,1,0.2,9.78,0,0,0.0,0.0,91.01,0.079,0.011,0.067,0.37,0.393,0.185,0.605,0.21,88.24,89.09,100.0,death,,16.2,Railways,4,4.8,top_order,middle_order
AN Longchar,46,5,87,5,1,5,9.2,23,0,0.0,1,0.2,9.58,0,0,0.0,0.0,52.87,0.069,0.011,0.057,0.565,0.736,0.87,0.13,0.0,62.5,26.09,,pp,23.0,5.75,Nagaland,1,1.2,opener,anchor_opener
