player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,ml_suitability_score
A Aravinddaraj,0,1,3,0,0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,3,,,,,,0.0,unknown,,0.0,3.0,0.075,Puducherry,2020,11.0,11.0,11,11,11,tailender,tailender,False,4.575844000733318
A Ashish Reddy,135,12,129,8,3,12,11.25,37,0,0.0,1,0.083,10.72,1,0,0.083,0.0,104.65,0.085,0.023,0.062,0.37,0.318,7,73,55,8,79,42,0.052,0.541,0.407,87.5,92.41,130.95,death,19.33,8.56,10.75,1.0,Hyderabad (India),2018,5.583333333333333,6.0,3,7,6,middle_order,middle_order,True,56.600159091371985
A Awasthi,52,2,23,5,5,2,26.0,48,4,0.0,0,0.0,31.11,1,0,0.5,0.0,226.09,0.435,0.217,0.217,0.962,0.478,52,0,0,23,0,0,1.0,0.0,0.0,226.09,,,powerplay,,26.0,11.5,0.221,Arunachal Pradesh,2023,1.0,1.0,1,1,1,opener,aggressive_opener,False,50.335562820805194
A Badoni,267,10,216,22,10,5,26.7,80,5,0.5,0,0.0,22.8,3,1,0.3,0.1,123.61,0.148,0.046,0.102,0.554,0.356,21,114,132,23,115,78,0.079,0.427,0.494,91.3,99.13,169.23,death,25.33,28.75,21.6,1.0,Delhi,2024,4.0,4.0,2,6,4,top_order,top_order_anchor,True,65.48583459417378
A Bharwad,18,1,25,0,1,1,18.0,18,18,0.0,0,0.0,0.0,0,0,0.0,0.0,72.0,0.04,0.04,0.0,0.333,0.48,11,7,0,14,11,0,0.611,0.389,0.0,78.57,63.64,,powerplay,18.0,,25.0,0.167,Baroda,2023,2.0,2.0,2,2,2,opener,anchor_opener,False,19.146764977666905
A Choudhary,34,6,32,2,1,2,5.67,11,0,0.667,1,0.167,3.93,0,0,0.0,0.0,106.25,0.094,0.031,0.062,0.412,0.344,0,6,28,0,4,28,0.0,0.176,0.824,,150.0,100.0,middle,4.0,6.0,5.33,0.508,Rajasthan,2020,10.0,10.0,10,10,10,tailender,tailender,True,71.18450239077151
A G Pradeep,51,5,57,7,0,5,10.2,26,0,0.0,1,0.2,11.97,0,0,0.0,0.0,89.47,0.123,0.0,0.123,0.549,0.491,34,17,0,33,24,0,0.667,0.333,0.0,103.03,70.83,,powerplay,26.0,6.25,11.4,0.55,Andhra,2015,3.4,3.0,3,4,3,top_order,middle_order,True,21.536856375820406
A Kamboj,9,2,12,1,0,0,4.5,8,1,1.0,0,0.0,4.95,0,0,0.0,0.0,75.0,0.083,0.0,0.083,0.444,0.5,0,0,9,0,0,12,0.0,0.0,1.0,,,75.0,death,,4.5,6.0,0.175,Haryana,2023,8.5,8.5,7,10,7,lower_order,tailender,False,2.2899467958838553
A Manohar,282,8,185,19,18,4,35.25,70,1,0.5,0,0.0,24.25,4,2,0.5,0.25,152.43,0.2,0.097,0.103,0.652,0.314,2,125,155,6,102,77,0.007,0.443,0.55,33.33,122.55,201.3,death,32.67,36.8,23.12,1.0,Karnataka,2023,5.25,5.0,3,7,5,middle_order,finisher,True,86.95239431494231
A Mishra,57,12,51,7,0,6,4.75,14,0,0.5,3,0.25,5.03,0,0,0.0,0.0,111.76,0.137,0.0,0.137,0.491,0.353,0,0,57,0,1,50,0.0,0.0,1.0,,0.0,114.0,death,7.0,3.14,4.25,0.712,Haryana,2022,8.307692307692308,8.0,4,11,8,lower_order,tailender,True,77.18035752103216
