player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
A Aravinddaraj,11.0,11.0,11,11,11,tailender
A Ashish Reddy,5.583333333333333,6.0,3,7,6,middle_order
A Awasthi,1.0,1.0,1,1,1,opener
A Badoni,4.0,4.0,2,6,4,top_order
A Bharwad,2.0,2.0,2,2,2,opener
A Choudhary,10.0,10.0,10,10,10,tailender
A G Pradeep,3.4,3.0,3,4,3,top_order
A Kamboj,8.5,8.5,7,10,7,lower_order
A Manohar,5.25,5.0,3,7,5,middle_order
A Mishra,8.307692307692308,8.0,4,11,8,lower_order
A Mithun,8.285714285714286,8.5,4,10,8,lower_order
A Mukund,1.2857142857142858,1.0,1,2,1,opener
A Nagwaswalla,10.142857142857142,10.0,10,11,10,tailender
A Palkar,10.0,10.0,10,10,10,tailender
A Prateek Reddy,5.0,5.0,2,8,2,opener
A Pratyush Kumar,2.0,2.0,2,2,2,opener
A Raghuvanshi,2.0,2.0,2,2,2,opener
A Sheth,7.423076923076923,8.0,4,10,8,lower_order
A Singhania,9.0,9.0,8,10,9,tailender
A Thapa,8.0,8.0,8,8,8,lower_order
A Tomar,1.5,1.0,1,3,1,opener
AA Bamal,5.75,6.0,5,6,6,middle_order
AA Barot,2.5454545454545454,2.0,1,4,2,opener
AA Chakraborty,10.333333333333334,10.0,10,11,10,tailender
AA Herwadkar,1.0,1.0,1,1,1,opener
AA Kargave,3.0,3.0,3,3,3,top_order
AA Kazi,5.75,6.0,5,6,6,middle_order
AA Sanklecha,7.5,7.5,6,9,6,middle_order
AB Dinda,9.3,9.0,8,11,9,tailender
ABB Sangma,1.0,1.0,1,1,1,opener
AD Chopra,2.0,2.0,2,2,2,opener
AD Nath,4.2,4.0,1,7,4,top_order
AG Jungade,8.0,8.0,8,8,8,lower_order
AG Paunikar,5.714285714285714,6.0,3,7,6,middle_order
AG Rao,7.0,7.0,6,8,6,middle_order
AG Sehrawat,3.5,3.5,3,4,3,top_order
AH Hooda,10.4,11.0,9,11,11,tailender
AJ Kaushik,1.0,1.0,1,1,1,opener
AK Chahal,9.0,9.0,8,10,8,lower_order
AK Sarkar,9.25,9.0,9,10,9,tailender
AKS Bains,1.9166666666666667,2.0,1,6,2,opener
AL Menaria,3.6,4.0,2,6,4,top_order
AM Joshi,2.0,2.0,2,2,2,opener
AM Nayar,5.0,5.0,4,6,5,middle_order
AM Rahane,2.1,2.0,1,3,2,opener
AM Reddy,1.0,1.0,1,1,1,opener
AN Ahmed,8.214285714285714,8.5,7,9,9,tailender
AN Chauhan,9.5,9.5,9,10,9,tailender
AN Ghosh,4.8,4.0,3,7,4,top_order
AN Longchar,1.2,1.0,1,2,1,opener
