player,match_file,date,season,venue,team,opponent,winner,runs,balls_faced,fours,sixes,dismissed,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,season_start_year
KH Devdhar,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,16,10,3,0,1,16,10,0,0,0,0,3,2020
NA Rathva,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,1,3,0,0,1,1,3,0,0,0,0,2,2020
Vishnu Solanki,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,49,55,1,2,1,9,18,19,24,21,13,23,2020
SK Patel,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,1,5,0,0,1,1,5,0,0,0,0,4,2020
Bhanu Pania,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,0,1,0,0,1,0,1,0,0,0,0,1,2020
AV Rajput,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,2,8,0,0,1,0,0,2,8,0,0,6,2020
KR Kakade,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,4,4,1,0,1,0,0,4,4,0,0,3,2020
A Sheth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,29,30,2,1,1,0,0,10,19,19,11,13,2020
BA Bhatt,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,12,5,1,1,0,0,0,0,0,12,5,1,2020
BA Pathan,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,0,1,0,0,1,0,0,0,0,0,1,1,2020
