player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
A Aravinddaraj,6,9,156,212,9,0,8.15,35.33,26.0,0.667,0.87,2,0.222,0.301,1.0,0.0,12.0,6.25,10.86,0.115,0.615,0.269,middle,middle_overs_bowler,1.25,0.2,Puducherry
A Ashish Reddy,4,7,126,193,3,0,9.19,48.25,31.5,0.571,1.13,1,0.143,0.222,0.429,0.0,6.0,9.75,9.5,0.143,0.762,0.095,powerplay,middle_overs_bowler,0.0,0.8,Hyderabad (India)
A Badoni,2,4,42,74,1,0,10.57,37.0,21.0,0.5,1.0,1,0.25,0.214,0.25,0.0,17.0,9.0,10.5,0.143,0.571,0.286,middle,middle_overs_bowler,0.67,0.0,Delhi
A Choudhary,30,25,510,586,12,1,6.89,19.53,17.0,1.2,0.82,7,0.28,0.467,0.48,0.04,6.02,6.0,8.21,0.529,0.071,0.4,middle,powerplay_bowler,1.31,1.0,Rajasthan
A Kamboj,6,4,66,81,5,0,7.36,13.5,11.0,1.5,1.0,1,0.25,0.5,1.25,0.0,6.43,11.0,8.33,0.636,0.091,0.273,powerplay,powerplay_bowler,1.0,1.67,Haryana
A Mishra,23,26,510,688,12,2,8.09,29.91,22.17,0.885,1.14,6,0.231,0.312,0.462,0.077,7.71,8.06,8.4,0.082,0.741,0.176,powerplay,middle_overs_bowler,0.88,0.9,Haryana
A Mithun,32,31,622,857,18,1,8.27,26.78,19.44,1.032,1.17,10,0.323,0.378,0.581,0.032,7.61,7.71,9.95,0.54,0.186,0.273,powerplay,powerplay_bowler,1.23,0.56,Karnataka
A Nagwaswalla,36,26,543,653,23,3,7.22,18.14,15.08,1.385,1.72,7,0.269,0.446,0.885,0.115,6.27,8.0,8.51,0.541,0.155,0.304,powerplay,powerplay_bowler,1.81,0.7,Gujarat
A Palkar,9,6,107,117,3,0,6.56,13.0,11.89,1.5,1.05,3,0.5,0.477,0.5,0.0,5.58,,8.57,0.673,0.0,0.327,powerplay,powerplay_bowler,2.0,0.5,Maharashtra
A Sheth,59,44,888,1167,14,0,7.89,19.78,15.05,1.341,1.26,16,0.364,0.408,0.318,0.0,7.13,7.57,9.2,0.473,0.206,0.321,powerplay,powerplay_bowler,1.64,0.81,Baroda
A Singhania,9,13,203,243,1,0,7.18,27.0,22.56,0.692,1.11,1,0.077,0.305,0.077,0.0,,6.75,9.26,0.0,0.828,0.172,middle,middle_overs_bowler,1.25,0.44,Meghalaya
AA Bamal,3,5,120,118,1,1,5.9,39.33,40.0,0.6,0.89,1,0.2,0.342,0.2,0.2,,5.81,6.25,0.0,0.8,0.2,middle,middle_overs_bowler,1.0,0.33,Services
AA Chakraborty,4,10,204,241,4,0,7.09,60.25,51.0,0.4,0.52,0,0.0,0.299,0.4,0.0,8.75,6.87,,0.118,0.882,0.0,middle,middle_overs_bowler,0.5,0.38,Tripura
AA Choudhury,0,3,36,44,0,0,7.33,,,0.0,0.0,0,0.0,0.25,0.0,0.0,3.0,8.75,6.0,0.167,0.667,0.167,powerplay,middle_overs_bowler,0.0,,Assam
AA Kazi,0,4,71,115,0,0,9.72,,,0.0,0.0,0,0.0,0.183,0.0,0.0,8.5,7.88,19.09,0.169,0.676,0.155,middle,middle_overs_bowler,,0.0,Nagaland
AA Sanklecha,5,4,87,118,1,0,8.14,23.6,17.4,1.25,1.5,2,0.5,0.414,0.25,0.0,7.91,10.0,8.4,0.759,0.069,0.172,powerplay,powerplay_bowler,1.67,0.0,Maharashtra
AA Sarwate,7,5,90,105,2,0,7.0,15.0,12.86,1.4,0.89,3,0.6,0.333,0.4,0.0,13.0,5.5,13.0,0.133,0.8,0.067,middle,middle_overs_bowler,1.75,0.0,Vidarbha
AB Dinda,25,27,567,743,20,6,7.86,29.72,22.68,0.926,1.0,7,0.259,0.393,0.741,0.222,7.54,8.0,8.27,0.55,0.011,0.439,powerplay,powerplay_bowler,0.88,1.0,Bengal
AD Nath,5,8,99,142,3,0,8.61,28.4,19.8,0.625,0.74,1,0.125,0.192,0.375,0.0,,9.0,8.0,0.0,0.606,0.394,death,middle_overs_bowler,0.5,1.0,Uttar Pradesh
AH Hooda,18,24,444,535,15,1,7.23,29.72,24.67,0.75,0.9,5,0.208,0.444,0.625,0.042,7.31,13.0,6.84,0.649,0.014,0.338,death,powerplay_bowler,1.07,0.22,Haryana
AK Chahal,7,6,114,154,2,0,8.11,22.0,16.29,1.167,1.17,2,0.333,0.377,0.333,0.0,8.22,7.86,8.33,0.474,0.368,0.158,middle,powerplay_bowler,1.5,0.5,Haryana
AK Sarkar,2,7,120,173,5,0,8.65,86.5,60.0,0.286,0.76,1,0.143,0.275,0.714,0.0,11.14,7.3,7.33,0.35,0.5,0.15,middle,middle_overs_bowler,1.0,0.0,Tripura
AL Menaria,2,4,66,58,1,0,5.27,29.0,33.0,0.5,0.58,0,0.0,0.348,0.25,0.0,6.33,4.67,5.5,0.273,0.545,0.182,middle,middle_overs_bowler,0.0,1.0,Rajasthan
AM Nayar,6,8,144,184,7,0,7.67,30.67,24.0,0.75,0.71,1,0.125,0.257,0.875,0.0,4.0,7.83,,0.042,0.958,0.0,powerplay,middle_overs_bowler,1.0,0.33,Mumbai
AN Ahmed,25,23,402,476,13,0,7.1,19.04,16.08,1.087,1.04,9,0.391,0.445,0.565,0.0,6.87,5.8,8.26,0.567,0.149,0.284,middle,powerplay_bowler,1.25,1.0,Assam
AN Chauhan,7,5,96,139,6,0,8.69,19.86,13.71,1.4,1.67,2,0.4,0.375,1.2,0.0,8.0,13.67,7.0,0.438,0.188,0.375,death,powerplay_bowler,1.0,1.67,Himachal
AP Sharma,4,6,108,119,1,0,6.61,29.75,27.0,0.667,0.82,1,0.167,0.444,0.167,0.0,12.0,6.0,5.5,0.111,0.778,0.111,death,middle_overs_bowler,1.0,0.0,Services
AR Lamba,4,5,108,164,2,0,9.11,41.0,27.0,0.8,0.45,0,0.0,0.37,0.4,0.0,7.29,7.33,13.8,0.389,0.333,0.278,powerplay,all_phases_bowler,0.75,1.0,Rajasthan
AR Pandey,4,13,195,309,4,1,9.51,77.25,48.75,0.308,0.63,1,0.077,0.323,0.308,0.077,8.93,8.62,13.09,0.431,0.4,0.169,middle,powerplay_bowler,0.2,0.38,Railways
AR Patel,18,23,492,471,5,1,5.74,26.17,27.33,0.783,0.67,3,0.13,0.431,0.217,0.043,5.33,5.16,10.22,0.146,0.744,0.11,middle,middle_overs_bowler,0.67,0.91,Gujarat
AS Karambelkar,0,3,30,58,1,0,11.6,,,0.0,0.0,0,0.0,0.167,0.333,0.0,,11.6,,0.0,1.0,0.0,middle,middle_overs_bowler,0.0,0.0,Baroda
AS Rajpoot,55,36,768,903,23,2,7.05,16.42,13.96,1.528,1.25,18,0.5,0.438,0.639,0.056,6.06,6.86,8.7,0.547,0.109,0.344,powerplay,powerplay_bowler,1.81,1.13,Uttar Pradesh
AS Raut,10,18,313,368,9,0,7.05,36.8,31.3,0.556,0.78,1,0.056,0.339,0.5,0.0,,7.15,6.72,0.0,0.786,0.214,death,middle_overs_bowler,0.75,0.4,Odisha
AS Roy,13,23,437,511,7,1,7.02,39.31,33.62,0.565,0.9,4,0.174,0.355,0.304,0.043,5.22,7.65,7.2,0.247,0.684,0.069,powerplay,middle_overs_bowler,0.62,0.5,Jharkhand
AS Surwar,4,3,60,80,0,0,8.0,20.0,15.0,1.333,1.15,2,0.667,0.283,0.0,0.0,,7.67,11.0,0.0,0.9,0.1,middle,middle_overs_bowler,2.0,1.0,Jharkhand
AS Thakare,4,3,69,68,0,0,5.91,17.0,17.25,1.333,0.58,1,0.333,0.406,0.0,0.0,6.5,5.0,5.6,0.522,0.261,0.217,middle,powerplay_bowler,2.0,1.0,Vidarbha
AV Rajput,6,5,69,106,3,0,9.22,17.67,11.5,1.2,1.64,1,0.2,0.275,0.6,0.0,,9.53,8.33,0.0,0.739,0.261,death,middle_overs_bowler,1.67,0.5,Baroda
Aamir Gani,7,6,132,152,2,0,6.91,21.71,18.86,1.167,0.41,1,0.167,0.318,0.333,0.0,8.0,6.73,7.17,0.045,0.682,0.273,middle,middle_overs_bowler,1.33,1.0,Bengal
Abdul Samad,1,7,60,77,0,0,7.7,77.0,60.0,0.143,0.38,0,0.0,0.283,0.0,0.0,,7.7,,0.0,1.0,0.0,middle,middle_overs_bowler,0.25,0.0,Jammu & Kashmir
