player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
A Aravinddaraj,6,9,156,212,9,0,8.15,35.33,26.0,0.667,0.87,2,0.222,0.301,1.0,0.0,36,100,76,18,96,42,12.0,6.25,10.86,0.115,0.615,0.269,middle,middle_overs_bowler,1.25,0.2,17.33,1.0,Puducherry,2022,True
A Ashish Reddy,4,7,126,193,3,0,9.19,48.25,31.5,0.571,1.13,1,0.143,0.222,0.429,0.0,18,156,19,18,96,12,6.0,9.75,9.5,0.143,0.762,0.095,powerplay,middle_overs_bowler,0.0,0.8,18.0,0.938,Hyderabad (India),2018,True
A Badoni,2,4,42,74,1,0,10.57,37.0,21.0,0.5,1.0,1,0.25,0.214,0.25,0.0,17,36,21,6,24,12,17.0,9.0,10.5,0.143,0.571,0.286,middle,part_time_bowler,0.67,0.0,10.5,0.425,Delhi,2024,True
A Choudhary,30,25,510,586,12,1,6.89,19.53,17.0,1.2,0.82,7,0.28,0.467,0.48,0.04,271,36,279,270,36,204,6.02,6.0,8.21,0.529,0.071,0.4,middle,death_bowler,1.31,1.0,20.4,1.0,Rajasthan,2022,True
A Kamboj,6,4,66,81,5,0,7.36,13.5,11.0,1.5,1.0,1,0.25,0.5,1.25,0.0,45,11,25,42,6,18,6.43,11.0,8.33,0.636,0.091,0.273,powerplay,powerplay_bowler,1.0,1.67,16.5,0.525,Haryana,2023,True
A Mishra,23,26,510,688,12,2,8.09,29.91,22.17,0.885,1.14,6,0.231,0.312,0.462,0.077,54,508,126,42,378,90,7.71,8.06,8.4,0.082,0.741,0.176,powerplay,middle_overs_bowler,0.88,0.9,19.62,1.0,Haryana,2023,True
A Mithun,32,31,622,857,18,1,8.27,26.78,19.44,1.032,1.17,10,0.323,0.378,0.581,0.032,426,149,282,336,116,170,7.61,7.71,9.95,0.54,0.186,0.273,powerplay,powerplay_bowler,1.23,0.56,20.06,1.0,Karnataka,2020,True
A Nagwaswalla,36,26,543,653,23,3,7.22,18.14,15.08,1.385,1.72,7,0.269,0.446,0.885,0.115,307,112,234,294,84,165,6.27,8.0,8.51,0.541,0.155,0.304,powerplay,death_bowler,1.81,0.7,20.88,1.0,Gujarat,2023,True
A Nehra,1,2,36,46,1,0,7.67,46.0,36.0,0.5,0.71,0,0.0,0.389,0.5,0.0,31,6,9,24,6,6,7.75,6.0,9.0,0.667,0.167,0.167,middle,part_time_bowler,0.5,,18.0,0.275,Delhi,2015,False
A Palkar,9,6,107,117,3,0,6.56,13.0,11.89,1.5,1.05,3,0.5,0.477,0.5,0.0,67,0,50,72,0,35,5.58,,8.57,0.673,0.0,0.327,powerplay,death_bowler,2.0,0.5,17.83,0.821,Maharashtra,2021,True
A Panwar,1,1,24,51,2,0,12.75,51.0,24.0,1.0,0.0,0,0.0,0.167,2.0,0.0,22,0,29,12,0,12,11.0,,14.5,0.5,0.0,0.5,powerplay,part_time_bowler,,1.0,24.0,0.162,Saurashtra,2024,False
A Sheth,59,44,888,1167,14,0,7.89,19.78,15.05,1.341,1.26,16,0.364,0.408,0.318,0.0,499,231,437,420,183,285,7.13,7.57,9.2,0.473,0.206,0.321,powerplay,death_bowler,1.64,0.81,20.18,1.0,Baroda,2024,True
A Singhania,9,13,203,243,1,0,7.18,27.0,22.56,0.692,1.11,1,0.077,0.305,0.077,0.0,0,189,54,0,168,35,,6.75,9.26,0.0,0.828,0.172,middle,middle_overs_bowler,1.25,0.44,15.62,1.0,Meghalaya,2020,True
A Thapa,1,1,6,15,0,0,15.0,15.0,6.0,1.0,0.0,0,0.0,0.333,0.0,0.0,0,15,0,0,6,0,,15.0,,0.0,1.0,0.0,middle,part_time_bowler,,1.0,6.0,0.088,Arunachal Pradesh,2023,False
