player,match_file,date,season,venue,team,opponent,winner,runs_conceded,balls_bowled,wickets,wides,noballs,dot_balls,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,season_start_year
R Sai Kishore,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,11,24,0,0,0,17,11,18,0,6,0,0,2020
B Aparajith,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,16,18,1,1,0,6,3,6,13,12,0,0,2020
M Siddharth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,20,24,4,0,1,15,14,12,6,12,0,0,2020
M Ashwin,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,27,24,0,1,1,7,0,0,16,18,11,6,2020
Sonu Yadav,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,29,18,1,1,0,7,0,0,3,6,26,12,2020
M Mohammed,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,17,12,1,0,0,4,0,0,0,0,17,12,2020
A Sheth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,20,18,1,1,0,6,15,12,0,0,5,6,2020
LI Meriwala,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,34,24,1,0,0,10,11,12,6,6,17,6,2020
BA Bhatt,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,26,24,0,1,0,8,10,6,16,18,0,0,2020
KR Kakade,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,12,12,0,0,0,6,2,6,10,6,0,0,2020
BA Pathan,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,23,24,1,2,0,10,0,0,11,18,12,6,2020
NA Rathva,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,8,6,0,0,0,0,0,0,8,6,0,0,2020
S Kaul,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,26,24,0,1,0,10,1,6,6,6,19,12,2017
MS Gony,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,45,24,0,1,1,11,22,18,0,0,23,6,2017
BB Sran,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,46,24,0,3,1,7,21,12,0,0,25,12,2017
M Markande,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,23,24,1,1,0,11,0,0,23,24,0,0,2017
Harbhajan Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,12,18,2,1,0,8,0,0,12,18,0,0,2017
Yuvraj Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,12,6,0,3,0,0,0,0,12,6,0,0,2017
Mohammed Mudhasir,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,32,18,1,0,0,5,32,18,0,0,0,0,2017
Umar Nazir,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,36,24,2,0,0,11,26,18,0,0,10,6,2017
Parvez Rasool,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,24,24,1,0,0,6,0,0,16,18,8,6,2017
Waseem Raza,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,16,24,4,0,0,12,0,0,10,18,6,6,2017
Manik Gupta,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,16,12,1,0,0,3,0,0,16,12,0,0,2017
Manzoor Dar,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,17,12,1,0,0,2,0,0,11,6,6,6,2017
Ravi Teja,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),19,24,2,0,0,11,5,6,6,12,8,6,2021
Mohammed Siraj,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),20,24,1,0,0,12,8,12,0,0,12,12,2021
CV Milind,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),49,24,1,1,0,6,20,12,0,0,29,12,2021
Tanay Thyagarajan,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),31,24,1,0,0,6,13,6,18,18,0,0,2021
GH Vihari,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),24,12,0,0,0,3,0,0,24,12,0,0,2021
Rohit Rayudu,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),10,6,0,0,0,2,0,0,10,6,0,0,2021
Tilak Varma,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),9,6,0,0,0,0,0,0,9,6,0,0,2021
Jagjit Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),25,18,0,0,0,7,8,12,0,0,17,6,2021
Shreshth Nirmohi,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),32,18,0,0,0,5,18,12,0,0,14,6,2021
Jaskaran Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),39,22,1,2,0,6,20,12,0,0,19,10,2021
Arpit Pannu,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),19,24,1,0,0,5,0,0,19,24,0,0,2021
Gurinder Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),38,24,0,1,0,4,0,0,38,24,0,0,2021
