dataset,feature,dtype,missing_count,missing_pct,unique_values
smat_batting,player,str,0,0.0,1301
smat_batting,total_runs,int64,0,0.0,405
smat_batting,total_matches,int64,0,0.0,43
smat_batting,total_balls_faced,int64,0,0.0,384
smat_batting,total_fours,int64,0,0.0,101
smat_batting,total_sixes,int64,0,0.0,54
smat_batting,total_dismissed,int64,0,0.0,39
smat_batting,avg_runs,float64,0,0.0,581
smat_batting,highest_score,int64,0,0.0,120
smat_batting,lowest_score,int64,0,0.0,40
smat_batting,not_out_rate,float64,0,0.0,132
smat_batting,duck_count,int64,0,0.0,8
smat_batting,duck_rate,float64,0,0.0,97
smat_batting,consistency_score,float64,0,0.0,725
smat_batting,innings_above_30,int64,0,0.0,21
smat_batting,innings_above_50,int64,0,0.0,13
smat_batting,innings_above_30_pct,float64,0,0.0,135
smat_batting,innings_above_50_pct,float64,0,0.0,99
smat_batting,strike_rate,float64,1,0.08,797
smat_batting,boundary_rate,float64,1,0.08,233
smat_batting,six_rate,float64,1,0.08,133
smat_batting,four_rate,float64,1,0.08,187
smat_batting,boundary_runs_pct,float64,65,5.0,382
smat_batting,dot_ball_rate,float64,1,0.08,371
smat_batting,pp_runs,int64,0,0.0,227
smat_batting,mid_runs,int64,0,0.0,271
smat_batting,death_runs,int64,0,0.0,191
smat_batting,pp_balls_faced,int64,0,0.0,226
smat_batting,mid_balls_faced,int64,0,0.0,256
smat_batting,death_balls_faced,int64,0,0.0,144
smat_batting,pp_runs_pct,float64,65,5.0,415
smat_batting,mid_runs_pct,float64,65,5.0,477
smat_batting,death_runs_pct,float64,65,5.0,484
smat_batting,pp_strike_rate,float64,581,44.66,454
smat_batting,mid_strike_rate,float64,319,24.52,576
smat_batting,death_strike_rate,float64,237,18.22,502
smat_batting,dominant_phase,str,0,0.0,4
smat_batting,avg_runs_in_wins,float64,497,38.2,378
smat_batting,avg_runs_in_losses,float64,65,5.0,459
smat_batting,balls_faced_per_match,float64,0,0.0,554
smat_batting,sample_reliability_score,float64,0,0.0,208
smat_batting,team,str,0,0.0,39
smat_batting,season_start_year,int64,0,0.0,9
smat_batting,avg_position,float64,0,0.0,442
smat_batting,median_position,float64,0,0.0,21
smat_batting,highest_position,int64,0,0.0,11
smat_batting,lowest_position,int64,0,0.0,11
smat_batting,typical_position,int64,0,0.0,11
smat_batting,position_role,str,0,0.0,5
smat_batting,batting_role,str,0,0.0,8
smat_batting,eligible_for_model,bool,0,0.0,2
smat_bowling,player,str,0,0.0,970
smat_bowling,total_wickets,int64,0,0.0,54
smat_bowling,total_matches_bowled,int64,0,0.0,44
smat_bowling,total_balls_bowled,int64,0,0.0,321
smat_bowling,total_runs_conceded,int64,0,0.0,425
smat_bowling,total_wides,int64,0,0.0,34
smat_bowling,total_noballs,int64,0,0.0,9
smat_bowling,economy_rate,float64,0,0.0,422
smat_bowling,bowling_average,float64,190,19.59,528
smat_bowling,bowling_strike_rate,float64,190,19.59,391
smat_bowling,avg_wickets_per_match,float64,0,0.0,200
smat_bowling,bowling_consistency,float64,0,0.0,127
smat_bowling,two_plus_hauls,int64,0,0.0,20
smat_bowling,two_plus_haul_rate,float64,0,0.0,118
smat_bowling,bowling_dot_rate,float64,0,0.0,272
smat_bowling,wide_rate,float64,0,0.0,181
smat_bowling,noball_rate,float64,0,0.0,74
smat_bowling,pp_runs_conceded,int64,0,0.0,232
smat_bowling,mid_runs_conceded,int64,0,0.0,271
smat_bowling,death_runs_conceded,int64,0,0.0,210
smat_bowling,pp_balls_bowled,int64,0,0.0,80
smat_bowling,mid_balls_bowled,int64,0,0.0,154
smat_bowling,death_balls_bowled,int64,0,0.0,157
smat_bowling,pp_economy,float64,282,29.07,276
smat_bowling,mid_economy,float64,83,8.56,343
smat_bowling,death_economy,float64,249,25.67,323
smat_bowling,pp_workload_pct,float64,0,0.0,345
smat_bowling,mid_workload_pct,float64,0,0.0,363
smat_bowling,death_workload_pct,float64,0,0.0,283
smat_bowling,dominant_phase,str,0,0.0,3
smat_bowling,bowling_role,str,0,0.0,5
smat_bowling,wickets_in_wins,float64,244,25.15,105
smat_bowling,wickets_in_losses,float64,114,11.75,92
smat_bowling,balls_bowled_per_match,float64,0,0.0,327
smat_bowling,sample_reliability_score,float64,0,0.0,128
smat_bowling,team,str,0,0.0,39
smat_bowling,season_start_year,int64,0,0.0,9
smat_bowling,eligible_for_model,bool,0,0.0,2
smat_allrounder,player,str,0,0.0,1463
smat_allrounder,team,str,0,0.0,39
smat_allrounder,season_start_year,float64,0,0.0,9
smat_allrounder,batting_strength_score,float64,0,0.0,984
smat_allrounder,bowling_strength_score,float64,0,0.0,866
smat_allrounder,allrounder_index,float64,0,0.0,1269
smat_allrounder,is_batting_allrounder,bool,0,0.0,2
smat_allrounder,is_bowling_allrounder,bool,0,0.0,2
smat_allrounder,allrounder_role,str,0,0.0,6
smat_allrounder,total_runs,float64,162,11.07,405
smat_allrounder,total_matches,float64,162,11.07,43
smat_allrounder,total_balls_faced,float64,162,11.07,384
smat_allrounder,avg_runs,float64,162,11.07,581
smat_allrounder,strike_rate,float64,163,11.14,797
smat_allrounder,batting_role,str,162,11.07,8
smat_allrounder,total_wickets,float64,493,33.7,54
smat_allrounder,total_matches_bowled,float64,493,33.7,44
smat_allrounder,total_balls_bowled,float64,493,33.7,321
smat_allrounder,avg_wickets_per_match,float64,493,33.7,200
smat_allrounder,economy_rate,float64,493,33.7,422
smat_allrounder,bowling_role,str,493,33.7,5
smat_positions,player,str,0,0.0,1301
smat_positions,avg_position,float64,0,0.0,442
smat_positions,median_position,float64,0,0.0,21
smat_positions,highest_position,int64,0,0.0,11
smat_positions,lowest_position,int64,0,0.0,11
smat_positions,typical_position,int64,0,0.0,11
smat_positions,position_role,str,0,0.0,5
ipl_batting,player,str,0,0.0,727
ipl_batting,total_runs,int64,0,0.0,373
ipl_batting,total_matches,int64,0,0.0,124
ipl_batting,total_balls_faced,int64,0,0.0,358
ipl_batting,total_fours,int64,0,0.0,167
ipl_batting,total_sixes,int64,0,0.0,117
ipl_batting,total_dismissed,int64,0,0.0,110
ipl_batting,avg_runs,float64,0,0.0,459
ipl_batting,highest_score,int64,0,0.0,130
ipl_batting,lowest_score,int64,0,0.0,24
ipl_batting,not_out_rate,float64,0,0.0,210
ipl_batting,duck_count,int64,0,0.0,19
ipl_batting,duck_rate,float64,0,0.0,125
ipl_batting,consistency_score,float64,0,0.0,506
ipl_batting,innings_above_30,int64,0,0.0,61
ipl_batting,innings_above_50,int64,0,0.0,39
ipl_batting,innings_above_30_pct,float64,0,0.0,179
ipl_batting,innings_above_50_pct,float64,0,0.0,131
ipl_batting,strike_rate,float64,0,0.0,545
ipl_batting,boundary_rate,float64,0,0.0,211
ipl_batting,six_rate,float64,0,0.0,128
ipl_batting,four_rate,float64,0,0.0,160
ipl_batting,boundary_runs_pct,float64,28,3.85,296
ipl_batting,dot_ball_rate,float64,0,0.0,254
ipl_batting,pp_runs,int64,0,0.0,213
ipl_batting,mid_runs,int64,0,0.0,271
ipl_batting,death_runs,int64,0,0.0,257
ipl_batting,pp_balls_faced,int64,0,0.0,207
ipl_batting,mid_balls_faced,int64,0,0.0,261
ipl_batting,death_balls_faced,int64,0,0.0,227
ipl_batting,pp_runs_pct,float64,28,3.85,266
ipl_batting,mid_runs_pct,float64,28,3.85,355
ipl_batting,death_runs_pct,float64,28,3.85,364
ipl_batting,pp_strike_rate,float64,341,46.91,297
ipl_batting,mid_strike_rate,float64,167,22.97,385
ipl_batting,death_strike_rate,float64,85,11.69,417
ipl_batting,dominant_phase,str,0,0.0,4
ipl_batting,avg_runs_in_wins,float64,192,26.41,331
ipl_batting,avg_runs_in_losses,float64,21,2.89,418
ipl_batting,balls_faced_per_match,float64,0,0.0,428
ipl_batting,sample_reliability_score,float64,0,0.0,185
ipl_batting,team,str,0,0.0,14
ipl_batting,season_start_year,int64,0,0.0,19
ipl_batting,avg_position,float64,0,0.0,393
ipl_batting,median_position,float64,0,0.0,21
ipl_batting,highest_position,int64,0,0.0,11
ipl_batting,lowest_position,int64,0,0.0,11
ipl_batting,typical_position,int64,0,0.0,11
ipl_batting,position_role,str,0,0.0,5
ipl_batting,batting_role,str,0,0.0,8
ipl_batting,eligible_for_model,bool,0,0.0,2
ipl_bowling,player,str,0,0.0,568
ipl_bowling,total_wickets,int64,0,0.0,104
ipl_bowling,total_matches_bowled,int64,0,0.0,108
ipl_bowling,total_balls_bowled,int64,0,0.0,324
ipl_bowling,total_runs_conceded,int64,0,0.0,413
ipl_bowling,total_wides,int64,0,0.0,98
ipl_bowling,total_noballs,int64,0,0.0,23
ipl_bowling,economy_rate,float64,0,0.0,326
ipl_bowling,bowling_average,float64,85,14.96,405
ipl_bowling,bowling_strike_rate,float64,85,14.96,322
ipl_bowling,avg_wickets_per_match,float64,0,0.0,240
ipl_bowling,bowling_consistency,float64,0,0.0,105
ipl_bowling,two_plus_hauls,int64,0,0.0,50
ipl_bowling,two_plus_haul_rate,float64,0,0.0,169
ipl_bowling,bowling_dot_rate,float64,0,0.0,230
ipl_bowling,wide_rate,float64,0,0.0,246
ipl_bowling,noball_rate,float64,0,0.0,132
ipl_bowling,pp_runs_conceded,int64,0,0.0,264
ipl_bowling,mid_runs_conceded,int64,0,0.0,339
ipl_bowling,death_runs_conceded,int64,0,0.0,271
ipl_bowling,pp_balls_bowled,int64,0,0.0,124
ipl_bowling,mid_balls_bowled,int64,0,0.0,172
ipl_bowling,death_balls_bowled,int64,0,0.0,207
ipl_bowling,pp_economy,float64,111,19.54,253
ipl_bowling,mid_economy,float64,26,4.58,293
ipl_bowling,death_economy,float64,89,15.67,297
ipl_bowling,pp_workload_pct,float64,0,0.0,289
ipl_bowling,mid_workload_pct,float64,0,0.0,324
ipl_bowling,death_workload_pct,float64,0,0.0,266
ipl_bowling,dominant_phase,str,0,0.0,3
ipl_bowling,bowling_role,str,0,0.0,4
ipl_bowling,wickets_in_wins,float64,78,13.73,117
ipl_bowling,wickets_in_losses,float64,38,6.69,99
ipl_bowling,balls_bowled_per_match,float64,0,0.0,315
ipl_bowling,sample_reliability_score,float64,0,0.0,89
ipl_bowling,team,str,0,0.0,14
ipl_bowling,season_start_year,int64,0,0.0,19
ipl_bowling,eligible_for_model,bool,0,0.0,2
ipl_allrounder,player,str,0,0.0,794
ipl_allrounder,team,str,0,0.0,14
ipl_allrounder,season_start_year,float64,0,0.0,19
ipl_allrounder,batting_strength_score,float64,0,0.0,621
ipl_allrounder,bowling_strength_score,float64,0,0.0,539
ipl_allrounder,allrounder_index,float64,0,0.0,737
ipl_allrounder,is_batting_allrounder,bool,0,0.0,2
ipl_allrounder,is_bowling_allrounder,bool,0,0.0,2
ipl_allrounder,allrounder_role,str,0,0.0,6
ipl_allrounder,total_runs,float64,67,8.44,373
ipl_allrounder,total_matches,float64,67,8.44,124
ipl_allrounder,total_balls_faced,float64,67,8.44,358
ipl_allrounder,avg_runs,float64,67,8.44,459
ipl_allrounder,strike_rate,float64,67,8.44,545
ipl_allrounder,batting_role,str,67,8.44,8
ipl_allrounder,total_wickets,float64,226,28.46,104
ipl_allrounder,total_matches_bowled,float64,226,28.46,108
ipl_allrounder,total_balls_bowled,float64,226,28.46,324
ipl_allrounder,avg_wickets_per_match,float64,226,28.46,240
ipl_allrounder,economy_rate,float64,226,28.46,326
ipl_allrounder,bowling_role,str,226,28.46,4
ipl_positions,player,str,0,0.0,727
ipl_positions,avg_position,float64,0,0.0,393
ipl_positions,median_position,float64,0,0.0,21
ipl_positions,highest_position,int64,0,0.0,11
ipl_positions,lowest_position,int64,0,0.0,11
ipl_positions,typical_position,int64,0,0.0,11
ipl_positions,position_role,str,0,0.0,5
ipl_2026_batting,player,str,0,0.0,177
