dataset,feature,count,missing_count,min,max,mean,median,std
smat_batting,total_runs,1301,0,0.0,1432.0,141.953,43.0,228.877
smat_batting,total_matches,1301,0,1.0,46.0,8.124,4.0,8.795
smat_batting,total_balls_faced,1301,0,0.0,1175.0,118.998,43.0,174.827
smat_batting,total_fours,1301,0,0.0,165.0,12.623,3.0,21.756
smat_batting,total_sixes,1301,0,0.0,75.0,4.952,1.0,9.2
smat_batting,total_dismissed,1301,0,0.0,40.0,6.399,3.0,7.364
smat_batting,avg_runs,1301,0,0.0,68.0,12.145,9.67,10.028
smat_batting,highest_score,1301,0,0.0,147.0,30.059,21.0,28.416
smat_batting,lowest_score,1301,0,0.0,68.0,2.55,0.0,5.841
smat_batting,not_out_rate,1301,0,-0.038,1.0,0.24,0.152,0.288
smat_batting,duck_count,1301,0,0.0,7.0,0.769,0.0,1.056
smat_batting,duck_rate,1301,0,0.0,1.0,0.13,0.0,0.23
smat_batting,consistency_score,1301,0,0.0,49.5,9.626,7.51,8.975
smat_batting,innings_above_30,1301,0,0.0,20.0,1.699,0.0,3.286
smat_batting,innings_above_50,1301,0,0.0,12.0,0.668,0.0,1.653
smat_batting,innings_above_30_pct,1301,0,0.0,1.0,0.123,0.0,0.191
smat_batting,innings_above_50_pct,1301,0,0.0,1.0,0.041,0.0,0.098
smat_batting,strike_rate,1300,1,0.0,400.0,97.444,100.965,46.219
smat_batting,boundary_rate,1300,1,0.0,1.0,0.11,0.111,0.089
smat_batting,six_rate,1300,1,0.0,0.333,0.03,0.018,0.039
smat_batting,four_rate,1300,1,0.0,1.0,0.08,0.079,0.074
smat_batting,boundary_runs_pct,1236,65,0.0,1.0,0.443,0.509,0.251
smat_batting,dot_ball_rate,1300,1,0.0,1.0,0.469,0.426,0.195
smat_batting,pp_runs,1301,0,0.0,777.0,42.643,1.0,94.486
smat_batting,mid_runs,1301,0,0.0,961.0,62.827,13.0,114.165
smat_batting,death_runs,1301,0,0.0,508.0,36.483,12.0,60.812
smat_batting,pp_balls_faced,1301,0,0.0,660.0,38.405,4.0,77.441
smat_batting,mid_balls_faced,1301,0,0.0,659.0,55.362,17.0,90.639
smat_batting,death_balls_faced,1301,0,0.0,267.0,25.231,12.0,35.589
smat_batting,pp_runs_pct,1236,65,0.0,1.0,0.224,0.037,0.304
smat_batting,mid_runs_pct,1236,65,0.0,1.0,0.329,0.329,0.278
smat_batting,death_runs_pct,1236,65,0.0,1.0,0.448,0.364,0.383
smat_batting,pp_strike_rate,720,581,0.0,400.0,93.246,96.825,48.841
smat_batting,mid_strike_rate,982,319,0.0,292.86,91.507,98.725,43.163
smat_batting,death_strike_rate,1064,237,0.0,400.0,116.975,117.14,62.732
smat_batting,avg_runs_in_wins,804,497,0.0,80.0,17.779,16.0,13.342
smat_batting,avg_runs_in_losses,1236,65,0.0,68.0,10.776,8.5,9.387
smat_batting,balls_faced_per_match,1301,0,0.0,46.0,11.328,9.8,7.63
smat_batting,sample_reliability_score,1301,0,0.062,1.0,0.536,0.479,0.361
smat_batting,season_start_year,1301,0,2015.0,2024.0,2020.386,2021.0,2.453
smat_batting,avg_position,1301,0,1.0,11.0,5.86,5.765,2.923
smat_batting,median_position,1301,0,1.0,11.0,5.844,6.0,3.035
smat_batting,highest_position,1301,0,1.0,11.0,4.736,4.0,3.184
smat_batting,lowest_position,1301,0,1.0,11.0,7.087,7.0,2.839
smat_batting,typical_position,1301,0,1.0,11.0,5.596,6.0,3.142
smat_bowling,total_wickets,970,0,0.0,67.0,7.801,4.0,10.45
