dataset,category,value,count,pct
smat_batting,batting_role,tailender,517,39.74
smat_batting,batting_role,middle_order,324,24.9
smat_batting,batting_role,anchor_opener,214,16.45
smat_batting,batting_role,finisher,94,7.23
smat_batting,batting_role,aggressive_opener,80,6.15
smat_batting,batting_role,top_order_anchor,59,4.53
smat_batting,batting_role,lower_order_hitter,7,0.54
smat_batting,batting_role,top_order_aggressor,6,0.46
smat_batting,position_role,tailender,294,22.6
smat_batting,position_role,opener,294,22.6
smat_batting,position_role,middle_order,243,18.68
smat_batting,position_role,top_order,240,18.45
smat_batting,position_role,lower_order,230,17.68
smat_batting,dominant_phase,death,805,61.88
smat_batting,dominant_phase,middle,230,17.68
smat_batting,dominant_phase,powerplay,201,15.45
smat_batting,dominant_phase,unknown,65,5.0
smat_batting,eligible_for_model,True,891,68.49
smat_batting,eligible_for_model,False,410,31.51
smat_bowling,bowling_role,part_time_bowler,401,41.34
smat_bowling,bowling_role,middle_overs_bowler,277,28.56
smat_bowling,bowling_role,powerplay_bowler,160,16.49
smat_bowling,bowling_role,death_bowler,130,13.4
smat_bowling,bowling_role,all_phases_bowler,2,0.21
smat_bowling,dominant_phase,middle,489,50.41
smat_bowling,dominant_phase,powerplay,325,33.51
smat_bowling,dominant_phase,death,156,16.08
smat_bowling,eligible_for_model,True,654,67.42
smat_bowling,eligible_for_model,False,316,32.58
smat_allrounder,batting_role,tailender,517,35.34
smat_allrounder,batting_role,middle_order,324,22.15
smat_allrounder,batting_role,anchor_opener,214,14.63
smat_allrounder,batting_role,,162,11.07
smat_allrounder,batting_role,finisher,94,6.43
smat_allrounder,batting_role,aggressive_opener,80,5.47
smat_allrounder,batting_role,top_order_anchor,59,4.03
smat_allrounder,batting_role,lower_order_hitter,7,0.48
smat_allrounder,batting_role,top_order_aggressor,6,0.41
smat_allrounder,bowling_role,,493,33.7
smat_allrounder,bowling_role,part_time_bowler,401,27.41
smat_allrounder,bowling_role,middle_overs_bowler,277,18.93
smat_allrounder,bowling_role,powerplay_bowler,160,10.94
smat_allrounder,bowling_role,death_bowler,130,8.89
smat_allrounder,bowling_role,all_phases_bowler,2,0.14
smat_allrounder,allrounder_role,pure_batter,640,43.75
smat_allrounder,allrounder_role,pure_bowler,554,37.87
smat_allrounder,allrounder_role,utility_player,83,5.67
smat_allrounder,allrounder_role,unknown,81,5.54
smat_allrounder,allrounder_role,batting_allrounder,54,3.69
smat_allrounder,allrounder_role,bowling_allrounder,51,3.49
smat_positions,position_role,tailender,294,22.6
smat_positions,position_role,opener,294,22.6
smat_positions,position_role,middle_order,243,18.68
smat_positions,position_role,top_order,240,18.45
smat_positions,position_role,lower_order,230,17.68
ipl_batting,batting_role,tailender,348,47.87
ipl_batting,batting_role,middle_order,110,15.13
ipl_batting,batting_role,anchor_opener,78,10.73
ipl_batting,batting_role,finisher,73,10.04
ipl_batting,batting_role,aggressive_opener,64,8.8
ipl_batting,batting_role,top_order_anchor,26,3.58
ipl_batting,batting_role,top_order_aggressor,14,1.93
ipl_batting,batting_role,lower_order_hitter,14,1.93
ipl_batting,position_role,tailender,207,28.47
ipl_batting,position_role,lower_order,155,21.32
ipl_batting,position_role,opener,142,19.53
ipl_batting,position_role,middle_order,119,16.37
ipl_batting,position_role,top_order,104,14.31
ipl_batting,dominant_phase,death,507,69.74
ipl_batting,dominant_phase,middle,109,14.99
ipl_batting,dominant_phase,powerplay,83,11.42
ipl_batting,dominant_phase,unknown,28,3.85
ipl_batting,eligible_for_model,True,472,64.92
ipl_batting,eligible_for_model,False,255,35.08
ipl_bowling,bowling_role,middle_overs_bowler,170,29.93
ipl_bowling,bowling_role,part_time_bowler,168,29.58
ipl_bowling,bowling_role,powerplay_bowler,139,24.47
ipl_bowling,bowling_role,death_bowler,91,16.02
ipl_bowling,dominant_phase,middle,318,55.99
ipl_bowling,dominant_phase,powerplay,190,33.45
ipl_bowling,dominant_phase,death,60,10.56
ipl_bowling,eligible_for_model,True,400,70.42
ipl_bowling,eligible_for_model,False,168,29.58
ipl_allrounder,batting_role,tailender,348,43.83
ipl_allrounder,batting_role,middle_order,110,13.85
ipl_allrounder,batting_role,anchor_opener,78,9.82
ipl_allrounder,batting_role,finisher,73,9.19
ipl_allrounder,batting_role,,67,8.44
ipl_allrounder,batting_role,aggressive_opener,64,8.06
ipl_allrounder,batting_role,top_order_anchor,26,3.27
ipl_allrounder,batting_role,top_order_aggressor,14,1.76
ipl_allrounder,batting_role,lower_order_hitter,14,1.76
ipl_allrounder,bowling_role,,226,28.46
ipl_allrounder,bowling_role,middle_overs_bowler,170,21.41
ipl_allrounder,bowling_role,part_time_bowler,168,21.16
ipl_allrounder,bowling_role,powerplay_bowler,139,17.51
ipl_allrounder,bowling_role,death_bowler,91,11.46
ipl_allrounder,allrounder_role,pure_bowler,301,37.91
ipl_allrounder,allrounder_role,pure_batter,300,37.78
ipl_allrounder,allrounder_role,bowling_allrounder,58,7.3
ipl_allrounder,allrounder_role,utility_player,56,7.05
ipl_allrounder,allrounder_role,batting_allrounder,49,6.17
ipl_allrounder,allrounder_role,unknown,30,3.78
ipl_positions,position_role,tailender,207,28.47
ipl_positions,position_role,lower_order,155,21.32
ipl_positions,position_role,opener,142,19.53
ipl_positions,position_role,middle_order,119,16.37
ipl_positions,position_role,top_order,104,14.31
ipl_2026_current_squad,batting_role,,257,100.0
ipl_2026_current_squad,bowling_role,,257,100.0
