dataset,metric,rank,player,team,value,batting_role,bowling_role,allrounder_role
smat_batting,total_runs,1,KH Devdhar,Baroda,1432.0,anchor_opener,,
smat_batting,total_runs,2,N Rana,Delhi,1376.0,top_order_anchor,,
smat_batting,total_runs,3,Virat Singh,Jharkhand,1236.0,top_order_anchor,,
smat_batting,total_runs,4,SS Iyer,Mumbai,1213.0,top_order_anchor,,
smat_batting,total_runs,5,KK Nair,Karnataka,1202.0,top_order_anchor,,
smat_batting,total_runs,6,Harpreet Singh,Chhattisgarh,1181.0,top_order_anchor,,
smat_batting,total_runs,7,RD Gaikwad,Maharashtra,1132.0,aggressive_opener,,
smat_batting,total_runs,8,RM Patidar,Madhya Pradesh,1132.0,top_order_anchor,,
smat_batting,total_runs,9,SP Goswami,Bengal,1131.0,aggressive_opener,,
smat_batting,total_runs,10,SA Yadav,Mumbai,1124.0,top_order_anchor,,
smat_batting,strike_rate,1,Suryansh Shedge,Mumbai,278.57,finisher,,
smat_batting,strike_rate,2,UT Yadav,Vidarbha,215.38,tailender,,
smat_batting,strike_rate,3,Ashwin Das,Madhya Pradesh,210.0,anchor_opener,,
smat_batting,strike_rate,4,Lavin Coster,Chhattisgarh,200.0,tailender,,
smat_batting,strike_rate,5,Sanvir Singh,Punjab,196.52,finisher,,
smat_batting,strike_rate,6,Yudhvir Singh,Jammu & Kashmir,190.0,middle_order,,
smat_batting,strike_rate,7,Mukhtar Hussain,Assam,186.21,tailender,,
smat_batting,strike_rate,8,Heramb Parab,Goa,185.0,tailender,,
smat_batting,strike_rate,9,Lekhaz Reddy,Andhra,180.95,middle_order,,
smat_batting,strike_rate,10,Mohit Kumar,Services,180.0,tailender,,
smat_batting,avg_runs,1,RR Pant,Delhi,55.38,aggressive_opener,,
smat_batting,avg_runs,2,Mayank Raghav,Manipur,50.17,aggressive_opener,,
smat_batting,avg_runs,3,Kishan Lyngdoh,Meghalaya,49.4,aggressive_opener,,
smat_batting,avg_runs,4,M Vijay,Tamil Nadu,43.11,aggressive_opener,,
smat_batting,avg_runs,5,Raghav Dhawan,Himachal,41.0,anchor_opener,,
smat_batting,avg_runs,6,Rohan Kadam,Karnataka,39.8,aggressive_opener,,
smat_batting,avg_runs,7,KL Rahul,Karnataka,39.12,aggressive_opener,,
smat_batting,avg_runs,8,CA Pujara,Saurashtra,38.94,anchor_opener,,
smat_batting,avg_runs,9,TM Srivastava,Uttarakhand,38.17,top_order_anchor,,
smat_batting,avg_runs,10,AD Chopra,Mizoram,37.67,aggressive_opener,,
smat_batting,sample_reliability_score,1,A Ashish Reddy,Hyderabad (India),1.0,middle_order,,
smat_batting,sample_reliability_score,2,IK Pathan,Baroda,1.0,finisher,,
smat_batting,sample_reliability_score,3,Rishabh Tiwari,Chhattisgarh,1.0,aggressive_opener,,
smat_batting,sample_reliability_score,4,J Suchith,Karnataka,1.0,tailender,,
smat_batting,sample_reliability_score,5,Rishav Das,Assam,1.0,aggressive_opener,,
smat_batting,sample_reliability_score,6,Ritwik Roy Chowdhury,Bengal,1.0,middle_order,,
smat_batting,sample_reliability_score,7,Robin Bist,Rajasthan,1.0,finisher,,
smat_batting,sample_reliability_score,8,Ishan Kishan,Jharkhand,1.0,aggressive_opener,,
smat_batting,sample_reliability_score,9,Rohan Kadam,Karnataka,1.0,aggressive_opener,,
smat_batting,sample_reliability_score,10,Iqbal Abdulla,Sikkim,1.0,middle_order,,
ipl_batting,total_runs,1,V Kohli,Royal Challengers Bengaluru,9040.0,aggressive_opener,,
ipl_batting,total_runs,2,RG Sharma,Mumbai Indians,7183.0,aggressive_opener,,
ipl_batting,total_runs,3,S Dhawan,Sunrisers Hyderabad,6769.0,aggressive_opener,,
ipl_batting,total_runs,4,DA Warner,Sunrisers Hyderabad,6565.0,aggressive_opener,,
ipl_batting,total_runs,5,KL Rahul,Punjab Kings,5655.0,aggressive_opener,,
ipl_batting,total_runs,6,SK Raina,Chennai Super Kings,5528.0,top_order_anchor,,
ipl_batting,total_runs,7,MS Dhoni,Chennai Super Kings,5439.0,finisher,,
ipl_batting,total_runs,8,AM Rahane,Rajasthan Royals,5194.0,aggressive_opener,,
ipl_batting,total_runs,9,AB de Villiers,Royal Challengers Bengaluru,5162.0,top_order_anchor,,
ipl_batting,total_runs,10,SV Samson,Rajasthan Royals,5008.0,top_order_anchor,,
ipl_batting,strike_rate,1,V Suryavanshi,Rajasthan Royals,224.66,aggressive_opener,,
ipl_batting,strike_rate,2,Priyansh Arya,Punjab Kings,200.97,aggressive_opener,,
ipl_batting,strike_rate,3,J Fraser-McGurk,Delhi Capitals,199.48,aggressive_opener,,
ipl_batting,strike_rate,4,FH Allen,Kolkata Knight Riders,192.86,aggressive_opener,,
ipl_batting,strike_rate,5,R Shepherd,Royal Challengers Bengaluru,189.76,lower_order_hitter,,
ipl_batting,strike_rate,6,A Mhatre,Chennai Super Kings,183.75,top_order_anchor,,
ipl_batting,strike_rate,7,V Nigam,Delhi Capitals,179.07,lower_order_hitter,,
ipl_batting,strike_rate,8,Akash Deep,Royal Challengers Bengaluru,178.57,tailender,,
ipl_batting,strike_rate,9,LJ Wright,Pune Warriors,176.67,top_order_aggressor,,
ipl_batting,strike_rate,10,TH David,Mumbai Indians,176.53,finisher,,
