team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Chennai Super Kings,batting,aggressive_opener,AM Rahane,Mumbai,84.08,98.36,100.0,100.0,92.61,82.35,94.69,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,93.54,Shubman Gill,Gujarat Titans,0,2,2,1,1
Chennai Super Kings,batting,aggressive_opener,PP Shaw,Mumbai,89.28,94.38,100.0,100.0,64.73,94.12,86.71,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,91.57,P Simran Singh,Punjab Kings,0,2,2,2,2
Chennai Super Kings,batting,aggressive_opener,Tarang Gohel,Saurashtra,73.21,87.3,100.0,77.9,82.88,100.0,24.66,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,81.28,JG Bethell,Royal Challengers Bengaluru,0,2,2,3,7
Chennai Super Kings,batting,aggressive_opener,HV Patel,Haryana,85.9,75.85,100.0,100.0,65.22,41.18,66.82,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,80.88,J Fraser-McGurk,Delhi Capitals,0,2,2,4,8
Chennai Super Kings,batting,aggressive_opener,P Simran Singh,Punjab,79.34,81.01,100.0,100.0,64.1,52.94,48.88,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,79.61,DR Smith,Chennai Super Kings,0,2,2,5,10
Chennai Super Kings,batting,aggressive_opener,D Padikkal,Karnataka,85.96,90.4,100.0,100.0,17.17,11.76,94.76,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,78.12,DP Conway,Chennai Super Kings,0,2,2,6,12
Chennai Super Kings,batting,aggressive_opener,H Desai,Saurashtra,51.02,91.11,100.0,100.0,75.05,88.24,28.34,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,78.03,S Sohal,Punjab Kings,0,2,2,7,13
Chennai Super Kings,batting,aggressive_opener,AD Chopra,Mizoram,83.63,60.9,100.0,47.1,83.04,76.47,57.59,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,77.28,HM Amla,Punjab Kings,0,2,2,8,16
Chennai Super Kings,batting,aggressive_opener,Hari Nishaanth,Tamil Nadu,62.19,80.02,100.0,100.0,74.57,64.71,25.86,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,75.95,PA Patel,Mumbai Indians,0,2,2,9,20
Chennai Super Kings,batting,aggressive_opener,MA Agarwal,Karnataka,60.67,89.56,100.0,100.0,62.34,35.29,29.63,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.29,MA Agarwal,Punjab Kings,0,2,2,10,31
Chennai Super Kings,batting,aggressive_opener,Ankit Kumar,Haryana,70.21,53.71,100.0,60.8,73.91,47.06,50.14,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,70.29,AD Hales,Sunrisers Hyderabad,0,2,2,11,44
Chennai Super Kings,batting,aggressive_opener,Vivek Singh,Bengal,72.93,85.91,100.0,100.0,27.72,17.65,30.07,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,70.02,WP Saha,Punjab Kings,0,2,2,12,45
Chennai Super Kings,batting,aggressive_opener,Rishav Das,Assam,49.31,86.56,100.0,100.0,60.38,23.53,37.66,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,70.0,PA Patel,Mumbai Indians,0,2,2,13,46
Chennai Super Kings,batting,aggressive_opener,Jyotsnil Singh,Baroda,59.71,83.02,100.0,61.2,65.0,29.41,44.74,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,69.43,AD Hales,Sunrisers Hyderabad,0,2,2,14,49
Chennai Super Kings,batting,aggressive_opener,Abishek Porel,Bengal,56.99,82.9,100.0,34.6,53.15,70.59,25.08,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,67.18,JG Bethell,Royal Challengers Bengaluru,0,2,2,15,65
