team,gap_type,role,current_count,target_count,deficit,gap_severity
Chennai Super Kings,allrounder,batting_allrounder,0,2,2,1.0
Chennai Super Kings,allrounder,bowling_allrounder,0,2,2,1.0
Chennai Super Kings,allrounder,utility_player,0,2,2,1.0
Chennai Super Kings,batting,aggressive_opener,0,2,2,1.0
Chennai Super Kings,batting,anchor_opener,0,1,1,1.0
Chennai Super Kings,batting,top_order_anchor,0,1,1,1.0
Chennai Super Kings,batting,middle_order,1,2,1,0.5
Chennai Super Kings,batting,finisher,1,2,1,0.5
Chennai Super Kings,batting,lower_order_hitter,0,1,1,1.0
Chennai Super Kings,batting,top_order_aggressor,1,1,0,0.0
Chennai Super Kings,bowling,powerplay_bowler,1,2,1,0.5
Chennai Super Kings,bowling,middle_overs_bowler,1,2,1,0.5
Chennai Super Kings,bowling,death_bowler,1,2,1,0.5
Chennai Super Kings,bowling,all_phases_bowler,0,1,1,1.0
Delhi Capitals,allrounder,batting_allrounder,0,2,2,1.0
Delhi Capitals,allrounder,utility_player,0,2,2,1.0
Delhi Capitals,allrounder,bowling_allrounder,1,2,1,0.5
Delhi Capitals,batting,middle_order,0,2,2,1.0
Delhi Capitals,batting,finisher,0,2,2,1.0
Delhi Capitals,batting,aggressive_opener,1,2,1,0.5
Delhi Capitals,batting,anchor_opener,0,1,1,1.0
Delhi Capitals,batting,top_order_anchor,0,1,1,1.0
Delhi Capitals,batting,top_order_aggressor,1,1,0,0.0
Delhi Capitals,batting,lower_order_hitter,1,1,0,0.0
Delhi Capitals,bowling,powerplay_bowler,0,2,2,1.0
Delhi Capitals,bowling,middle_overs_bowler,1,2,1,0.5
Delhi Capitals,bowling,death_bowler,1,2,1,0.5
Delhi Capitals,bowling,all_phases_bowler,0,1,1,1.0
Gujarat Titans,allrounder,batting_allrounder,0,2,2,1.0
Gujarat Titans,allrounder,bowling_allrounder,2,2,0,0.0
Gujarat Titans,allrounder,utility_player,2,2,0,0.0
Gujarat Titans,batting,finisher,0,2,2,1.0
Gujarat Titans,batting,aggressive_opener,1,2,1,0.5
Gujarat Titans,batting,top_order_anchor,0,1,1,1.0
