team,action_level,players
Chennai Super Kings,competition_needed,1
Delhi Capitals,competition_needed,1
Delhi Capitals,watchlist,1
Gujarat Titans,competition_needed,2
Gujarat Titans,replace_now,1
Kolkata Knight Riders,competition_needed,1
Lucknow Super Giants,competition_needed,1
Lucknow Super Giants,watchlist,1
Punjab Kings,competition_needed,2
Rajasthan Royals,competition_needed,1
Rajasthan Royals,watchlist,1
Royal Challengers Bengaluru,competition_needed,1
Sunrisers Hyderabad,competition_needed,3
Sunrisers Hyderabad,watchlist,1
