comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,aggressive_opener,AD Chopra,Mizoram,HM Amla,Punjab Kings,1,60.9
batting,aggressive_opener,AD Chopra,Mizoram,JC Buttler,Rajasthan Royals,2,60.69
batting,aggressive_opener,AD Chopra,Mizoram,KL Rahul,Punjab Kings,3,49.96
batting,aggressive_opener,AM Rahane,Mumbai,Shubman Gill,Gujarat Titans,1,98.36
batting,aggressive_opener,AM Rahane,Mumbai,DP Conway,Chennai Super Kings,2,94.87
batting,aggressive_opener,AM Rahane,Mumbai,B Sai Sudharsan,Gujarat Titans,3,93.22
batting,aggressive_opener,Abhishek Sharma,Punjab,Ishan Kishan,Mumbai Indians,1,83.13
batting,aggressive_opener,Abhishek Sharma,Punjab,VR Iyer,Kolkata Knight Riders,2,80.04
batting,aggressive_opener,Abhishek Sharma,Punjab,MR Marsh,Delhi Capitals,3,76.07
batting,aggressive_opener,Abishek Porel,Bengal,JG Bethell,Royal Challengers Bengaluru,1,82.9
batting,aggressive_opener,Abishek Porel,Bengal,UT Khawaja,Rising Pune Supergiant,2,74.1
batting,aggressive_opener,Abishek Porel,Bengal,FH Allen,Kolkata Knight Riders,3,71.55
batting,aggressive_opener,Ankit Kumar,Haryana,AD Hales,Sunrisers Hyderabad,1,53.71
batting,aggressive_opener,Ankit Kumar,Haryana,SA Asnodkar,Rajasthan Royals,2,50.32
batting,aggressive_opener,Ankit Kumar,Haryana,G Gambhir,Kolkata Knight Riders,3,45.39
batting,aggressive_opener,D Padikkal,Karnataka,DP Conway,Chennai Super Kings,1,90.4
batting,aggressive_opener,D Padikkal,Karnataka,DA Warner,Sunrisers Hyderabad,2,85.52
batting,aggressive_opener,D Padikkal,Karnataka,B Sai Sudharsan,Gujarat Titans,3,84.89
batting,aggressive_opener,H Desai,Saurashtra,S Sohal,Punjab Kings,1,91.11
batting,aggressive_opener,H Desai,Saurashtra,S Vidyut,Chennai Super Kings,2,90.07
batting,aggressive_opener,H Desai,Saurashtra,C Munro,Delhi Capitals,3,88.87
batting,aggressive_opener,HP Gawli,Madhya Pradesh,UT Khawaja,Rising Pune Supergiant,1,89.88
batting,aggressive_opener,HP Gawli,Madhya Pradesh,AD Hales,Sunrisers Hyderabad,2,71.82
batting,aggressive_opener,HP Gawli,Madhya Pradesh,FH Allen,Kolkata Knight Riders,3,63.69
batting,aggressive_opener,HV Patel,Haryana,J Fraser-McGurk,Delhi Capitals,1,75.85
batting,aggressive_opener,HV Patel,Haryana,RD Rickelton,Mumbai Indians,2,74.68
batting,aggressive_opener,HV Patel,Haryana,PD Salt,Royal Challengers Bengaluru,3,74.0
batting,aggressive_opener,Hari Nishaanth,Tamil Nadu,PA Patel,Mumbai Indians,1,80.02
batting,aggressive_opener,Hari Nishaanth,Tamil Nadu,SM Katich,Punjab Kings,2,68.47
batting,aggressive_opener,Hari Nishaanth,Tamil Nadu,S Sohal,Punjab Kings,3,64.69
batting,aggressive_opener,Jyotsnil Singh,Baroda,AD Hales,Sunrisers Hyderabad,1,83.02
batting,aggressive_opener,Jyotsnil Singh,Baroda,UT Khawaja,Rising Pune Supergiant,2,69.28
batting,aggressive_opener,Jyotsnil Singh,Baroda,SA Asnodkar,Rajasthan Royals,3,58.48
batting,aggressive_opener,MA Agarwal,Karnataka,MA Agarwal,Punjab Kings,1,89.56
batting,aggressive_opener,MA Agarwal,Karnataka,PA Patel,Mumbai Indians,2,77.9
batting,aggressive_opener,MA Agarwal,Karnataka,G Gambhir,Kolkata Knight Riders,3,74.91
batting,aggressive_opener,P Simran Singh,Punjab,DR Smith,Chennai Super Kings,1,81.01
batting,aggressive_opener,P Simran Singh,Punjab,BB McCullum,Kolkata Knight Riders,2,69.46
batting,aggressive_opener,P Simran Singh,Punjab,CH Gayle,Royal Challengers Bengaluru,3,60.89
batting,aggressive_opener,PP Shaw,Mumbai,P Simran Singh,Punjab Kings,1,94.38
batting,aggressive_opener,PP Shaw,Mumbai,Abhishek Sharma,Sunrisers Hyderabad,2,92.42
batting,aggressive_opener,PP Shaw,Mumbai,RD Rickelton,Mumbai Indians,3,92.17
batting,aggressive_opener,Priyansh Arya,Delhi,KR Mayers,Lucknow Super Giants,1,78.18
batting,aggressive_opener,Priyansh Arya,Delhi,ST Jayasuriya,Mumbai Indians,2,66.88
